 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"110020 Porto Velho";14353;10964;10380;11676;12523;11887;14441;12175;12287;12633;13124;9717;9848;11658;14188;13599;11194;10772;14378;15130;14450;14329;17067;14953;16932;15530;11512;8281;8767;9334;9418;9628;10317;13408;14666;13264;10347;11147;11039;11645;11670;11393;13508;12391;12786;13925;14322;18902;15138;10838;13814;14881;15956;18012;27052;18723;17970;18288;16877;17159;17896;18105;20028;19908;19958;15216;15291;13784;15629;16533;15636;14423;17911;16035;16781;22269;21871;20976;20695;20423;15443;15480;16427;15102;1228386
"120040 Rio Branco";4515;2599;3490;4185;1343;8519;2309;6077;18731;7773;2966;9256;14484;8496;10162;2444;11951;5621;6135;6479;3088;4594;3619;3714;4264;3806;1366;2712;814;1520;2543;2464;2076;2067;2217;1288;2953;8522;5386;5151;2974;3434;3406;3025;3304;4013;4167;4723;3600;3494;3130;1587;3672;6867;3282;5523;2741;2737;2405;4737;13863;5879;5741;5465;5668;5859;5826;5732;4599;5953;6586;7250;6526;5491;4389;12803;11666;11304;10477;9709;8297;8119;9021;8855;459598
"130260 Manaus";43005;30693;38416;31659;32088;29442;36413;26246;36265;34495;30938;37637;36515;37600;30960;29461;40504;32490;38583;42962;33112;36654;41536;44856;44194;40844;28957;34006;25628;25749;31178;35561;37804;33535;35147;30737;30144;23323;27890;34460;33895;41054;49826;39305;46510;33985;36239;36847;45827;42343;42400;44412;42562;49945;52772;44915;43945;40809;48787;42009;45905;43144;44715;38714;43089;42689;38068;37967;41710;34502;34295;73171;33711;28380;36949;31051;30770;29919;29482;28222;28152;29424;32055;33563;3119721
"140010 Boa Vista";8002;8892;9409;7028;8749;6361;6705;8109;9417;6571;5855;5630;6589;6808;5988;6276;8398;8598;6878;7742;7099;7591;8073;7547;8321;8468;7850;3784;5096;4112;4622;5234;5965;5958;5205;5206;5013;3485;4066;4280;4659;4854;3667;8232;5793;3164;5651;6064;4833;3663;6761;5632;6356;2754;8712;5041;4725;5272;5475;4727;4239;4242;6223;6101;6167;5773;5964;6493;2213;5308;4024;14739;8105;11104;12401;13498;7783;4943;3949;3809;3624;3463;3251;3609;522040
"150140 Belém";32278;31191;31144;32562;27729;26326;24068;24553;19899;18633;19595;21850;20476;21437;23451;21932;21827;24552;19384;20361;22460;18952;19451;19139;20671;17526;10056;9742;14042;12812;15823;15763;15675;15704;17428;16462;15479;12018;20168;18456;18365;16719;15430;17502;18522;19264;18383;18083;20640;20345;18664;18264;23487;19020;28338;20470;19931;18046;18530;18102;21841;20705;20203;21936;22456;21899;21340;23033;18666;24117;19498;20388;18101;20988;30337;28479;28286;31461;31946;30082;30904;29183;28155;24931;1786115
"160030 Macapá";3753;2637;36566;12242;11278;13221;12094;3764;22448;13483;3491;7310;10504;4053;4583;3890;3765;3488;59056;22343;5749;4588;4467;31021;3552;46684;17772;16601;5866;4721;14464;6959;8454;3238;35560;5490;3381;10345;8231;4340;11520;5134;3753;16351;9145;6263;6025;12798;10690;9392;6779;11229;12069;12632;4779;17158;29652;10471;7290;33400;17709;42356;29140;37611;36728;88865;33674;27594;19933;28477;23866;14149;11173;11160;18489;18447;17718;6878;13816;14282;15686;13726;15543;14928;1303930
"172100 Palmas";5542;3958;4194;4023;4665;3188;4414;6727;3409;7519;7273;8717;5469;6515;6916;6699;6792;5510;5185;5830;5939;6671;7123;7163;6444;5469;3432;2297;2119;2100;2607;2737;2584;2940;2715;1856;3411;2729;1942;2108;2522;2258;2431;4233;3418;4443;5388;4217;3452;3138;4018;7735;4952;5800;5860;4785;4198;4756;4618;8627;7328;7697;6208;5998;3302;2871;2641;3298;1828;2889;3016;763;3703;2149;2694;2735;2793;2526;2620;2597;2292;2180;1992;1921;355821
"211130 São Luís";30855;26201;30865;34469;35491;27749;29237;22039;23909;31189;19876;21879;26101;23129;27874;21792;26881;20688;18303;18190;22766;25926;24877;22583;20711;31226;23062;12639;10459;11875;16128;17245;16044;17439;14083;17972;23563;17990;19808;19048;23697;18718;20105;20571;22434;23294;27150;24732;25488;19522;23531;28226;30352;27551;27817;24840;24696;26119;25611;22381;24301;25362;28090;22351;27558;24974;23173;23169;25023;23212;21634;22110;30915;24225;30605;34986;33157;29629;27776;29091;28983;30345;27294;25694;2032653
"221100 Teresina";2118;1726;2240;1871;1928;2116;2131;2104;4022;2259;1955;2154;2502;2365;2674;2420;2820;2459;3227;3140;2876;2758;2870;3413;3952;3593;1793;4175;2502;2958;3066;3245;3347;3200;3519;3414;3733;3991;3741;3506;4534;4275;4839;4918;4756;5944;4832;5320;7835;5131;5344;7456;9735;6785;6715;5407;5893;6734;9012;6115;5379;4280;7128;4946;7014;5902;4370;5461;6033;5949;4608;6075;5140;5017;19179;6241;6537;5564;5388;5390;6841;6973;6537;6249;387664
"230440 Fortaleza";98321;100841;118647;109487;99486;82389;83078;86832;78088;89408;85222;86881;87841;100125;97976;113737;97332;87671;87430;87791;86417;77128;86083;93856;102988;110772;95375;51411;29732;36358;52480;56140;58228;63019;62800;63990;68657;66606;46910;48294;73206;74122;76617;76415;76043;82724;67295;104152;101132;74097;98380;107920;108061;103502;80614;90610;86467;87333;96249;82175;84475;91586;124038;100279;100394;91074;84825;82440;91148;90611;89970;91216;96470;96834;90945;95164;95581;89194;78992;77121;78005;81844;81436;78483;7145066
