 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Capital e Ano/mês processamento
Capital: 110020 Porto Velho, 120040 Rio Branco, 130260 Manaus, 140010 Boa Vista, 150140 Belém, 160030 Macapá, 172100 Palmas, 211130 São Luís, 221100 Teresina, 230440 Fortaleza, 240810 Natal, 250750 João Pessoa, 261160 Recife, 270430 Maceió, 280030 Aracaju, 292740 Salvador, 310620 Belo Horizonte, 320530 Vitória, 330455 Rio de Janeiro, 355030 São Paulo, 410690 Curitiba, 420540 Florianópolis, 431490 Porto Alegre, 500270 Campo Grande, 510340 Cuiabá, 520870 Goiânia, 530010 Brasília
Procedimento: 0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA
Período:2022-2023
"Capital";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"Total"
"110020 Porto Velho";14534;10838;13798;14881;15956;18012;27052;18706;17970;17850;16877;17159;17896;18105;20028;19908;19958;15216;15291;13784;15629;16533;15636;14423;406040
"120040 Rio Branco";3600;3494;3130;1587;3672;6867;3282;5523;2741;2737;2405;4737;13863;5879;5741;5465;5668;5859;5826;5732;4599;5953;6586;7250;122196
"130260 Manaus";45827;42343;42400;44412;42562;49945;52772;44915;43945;40809;48787;42009;45905;43144;44715;38714;43089;42689;38068;37967;41710;34502;34295;73171;1058695
"140010 Boa Vista";4833;3663;6761;5632;6356;2754;8712;5041;4725;5272;5475;4727;4239;4242;6223;6101;6167;5773;5964;6493;2213;5308;4024;14739;135437
"150140 Belém";18228;17063;15286;15957;22504;17195;23787;18915;16819;17681;17816;17748;21194;20005;19828;21466;20210;20913;20367;21984;17594;22837;18822;20065;464284
"160030 Macapá";10690;9392;6779;11229;12069;12632;4779;17158;29652;10471;7290;33400;17709;42356;29140;37611;36728;88571;33674;27594;19933;28477;23866;14149;565349
"172100 Palmas";3452;3138;4018;7735;4952;5800;5860;4785;4198;4756;4618;8627;7328;7697;6208;5998;3302;2871;2641;3298;1828;2889;3016;763;109778
"211130 São Luís";25488;19522;23531;28226;30352;27551;27817;24840;24696;26119;25611;22381;24301;25362;27996;22351;27376;24974;23173;23169;25023;23212;21634;22110;596815
"221100 Teresina";7835;5131;5344;7456;9735;6785;6715;5407;5893;6734;6120;6115;5379;4280;7128;4946;7014;5902;4370;5461;6033;5949;4608;6075;146415
"230440 Fortaleza";100943;72819;96614;105193;106331;101929;80550;87854;85869;86748;95643;81553;83613;90235;118982;99240;99352;89807;84523;82226;88949;90206;89536;87735;2206450
"240810 Natal";42169;28042;35310;26426;27121;53594;26066;25207;29476;13596;17047;29900;21640;7778;22236;34915;26924;23212;53109;35477;36189;18606;53532;40650;728222
"250750 João Pessoa";17100;17264;11035;11358;11940;11968;11044;12738;10558;10651;18501;13071;12961;15105;17091;16667;15577;16254;16717;16759;17984;16768;17577;17338;354026
"261160 Recife";22238;19784;20826;20466;21978;25196;23695;26112;23840;26411;27473;27109;27824;30049;30474;31976;50679;49071;50872;51155;57367;64048;65030;60060;853733
"270430 Maceió";35326;20660;22992;23555;29411;29203;32493;23789;22949;23863;27391;24411;22448;22562;28294;27794;28473;25140;25950;25105;23592;26407;24929;26793;623530
"280030 Aracaju";36134;27388;39576;40050;38668;38720;25644;22844;37039;41131;44757;34515;38335;34588;30241;41442;41114;36974;40426;42624;41689;41264;41878;41103;898144
"292740 Salvador";35306;39158;38081;40836;44201;66581;43945;42239;36636;38853;35830;43513;36263;37291;43924;42754;40051;46634;42827;44796;49408;45673;34927;39605;1009332
