 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Capital e Ano/mês processamento
Capital: 110020 Porto Velho, 120040 Rio Branco, 130260 Manaus, 140010 Boa Vista, 150140 Belém, 160030 Macapá, 172100 Palmas, 211130 São Luís, 221100 Teresina, 230440 Fortaleza, 240810 Natal, 250750 João Pessoa, 261160 Recife, 270430 Maceió, 280030 Aracaju, 292740 Salvador, 310620 Belo Horizonte, 320530 Vitória, 330455 Rio de Janeiro, 355030 São Paulo, 410690 Curitiba, 420540 Florianópolis, 431490 Porto Alegre, 500270 Campo Grande, 510340 Cuiabá, 520870 Goiânia, 530010 Brasília
Procedimento: 0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA
Período:2018-2020
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"110020 Porto Velho";12892;10964;9053;10444;11258;10691;13150;10948;11002;11060;11807;9717;9848;11658;14188;13599;11194;10772;14377;15130;14450;14329;17031;14924;16932;15529;11502;8281;8767;9334;9418;9483;10182;12915;12507;13264;432600
"120040 Rio Branco";4515;2599;3490;4185;465;8519;2309;6077;18731;7773;2966;8863;14088;8496;7017;2444;11951;5621;6135;6479;3088;4594;3619;3714;4264;3806;1366;2712;814;1520;2543;2464;2076;2067;2217;1288;174875
"130260 Manaus";43005;30693;38416;31659;32088;29442;36413;26246;36265;34495;30938;37637;36515;37600;30960;29461;40504;32490;38583;42962;33112;36654;41536;44856;44194;40844;28957;34006;25628;25749;31178;35561;37804;33535;35147;30737;1255870
"140010 Boa Vista";8002;8892;9409;7028;8749;6361;6705;8109;9417;6571;5855;5630;6589;6808;5988;6276;8398;8598;6878;7742;7099;7591;8073;7547;8321;8468;7850;3784;5096;4112;4622;5234;5965;5958;5205;5206;248136
"150140 Belém";30849;30687;29628;29910;26584;25540;21843;23337;18320;17322;18695;19846;17400;19450;20601;19801;19691;19936;18813;19928;21594;18540;19290;18889;20369;17251;9765;9565;14008;12745;15523;15649;15366;15310;17177;15680;704902
"160030 Macapá";3753;2637;36566;12242;11278;13221;12094;3764;22448;13483;3491;7310;10504;4053;4583;3890;3765;3488;28342;22343;5749;4588;4467;31021;3552;46684;17772;16601;5866;4721;9569;2923;6059;3238;27437;5490;418992
"172100 Palmas";5542;3958;4194;4023;4665;3188;4414;6727;3409;7519;7273;8717;5469;6515;6916;6699;6792;5510;5185;5830;5939;6671;7123;7163;6444;5469;3432;2297;2119;2100;2607;2737;2584;2940;2715;1856;176741
"211130 São Luís";29387;24686;28514;30518;34509;27217;29164;22039;23909;31189;19876;21879;26101;23129;26802;21792;26881;20688;18303;18190;22766;25926;24877;21885;18421;29494;21469;11748;10234;11875;16128;17245;16044;17439;14083;17972;802379
"221100 Teresina";2118;1726;2240;1871;1928;2116;2131;2104;4022;2259;1955;2154;2502;2365;2609;2420;2820;2459;3227;3140;2876;2758;2870;3413;3952;3593;1793;4175;2502;2958;3066;3245;3347;3200;3519;3414;98847
"230440 Fortaleza";97450;99803;115681;107409;98359;81315;81842;85521;76900;87149;83370;85940;86440;99113;96143;109730;94838;86865;84398;85789;85542;76527;82668;89476;98633;107298;92711;51176;28766;36218;52245;55880;57886;62806;62534;63586;2948007
