 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0301060037 ATENDIMENTO DE URGENCIA EM ATENCAO BASICA
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"110020 Porto Velho";1;8;12;-;1;3;-;1;7;-;-;-;7;5;-;-;1;10;-;-;-;-;-;-;1;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62
"120040 Rio Branco";88;93;1172;163;173;1246;31;593;2351;618;51;597;1062;604;97;163;223;77;253;667;663;772;415;270;927;836;986;438;323;387;429;513;631;730;727;447;395;436;524;781;1042;1024;1132;1164;1167;1291;1187;555;441;464;710;579;910;879;1096;965;616;775;753;642;730;857;983;833;908;799;1064;1396;1198;1352;648;817;857;827;893;2142;846;939;994;773;721;631;528;427;61507
"130260 Manaus";145;221;340;555;842;939;603;719;455;544;354;230;238;256;240;315;176;143;200;130;90;153;140;68;89;78;44;-;19;115;244;233;195;138;61;59;34;75;120;129;94;106;107;113;25;24;18;19;8;37;25;18;17;16;30;1470;15;3;869;488;859;848;-;885;1105;744;767;992;661;662;654;-;1119;512;595;693;774;747;1;5;2;5;1;7;25869
"140010 Boa Vista";66;127;136;2;9;-;1;15;3;-;2;1;7;5;-;5;-;-;8;5;10;6;-;55;-;42;-;-;69;-;-;-;10;4;-;-;-;3;-;2;-;-;-;2;-;-;-;-;-;-;3;1;3;-;4;11;12;7;6;3;-;-;1;113;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;761
"150140 Belém";6624;6772;11495;4889;3862;3449;2938;8468;3409;2844;8929;3393;11592;17269;4441;11983;4677;8702;14996;15353;3430;12557;8137;7189;14828;5934;7032;6157;2572;1674;2304;5298;3957;4987;1913;4186;3819;3905;4104;3761;6013;10292;7288;10717;7177;7087;8230;8339;21055;10468;5929;5765;7161;6871;8282;7085;7775;7439;7919;7249;6983;5735;5636;8916;9117;9334;6878;7799;8611;7807;8156;8145;8514;9433;10843;4899;5147;5638;4672;4912;5138;4681;4854;3733;597551
"160030 Macapá";16147;9;6891;13;-;12;-;21;18;22;9;-;-;14;2;-;2084;1695;15;18;-;5;1274;-;-;3;4;-;-;810;682;2331;78;1;6;2;1;2;2;-;-;-;22313;-;-;1399;-;1276;13908;1079;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;72146
"172100 Palmas";183;174;189;190;173;228;252;159;230;196;159;172;151;100;196;169;98;108;190;107;111;399;374;567;337;602;307;173;192;263;245;142;259;157;131;158;166;116;133;111;120;108;116;118;90;107;176;133;-;-;-;-;-;-;-;-;-;1;-;-;-;-;436;-;7;-;3;-;3;4;-;-;1;-;-;2;-;-;-;-;-;-;-;-;9792
"211130 São Luís";767;611;763;721;589;721;572;596;615;589;637;555;637;501;702;519;598;266;391;586;575;650;635;54;493;427;79;138;105;-;159;-;-;-;4;7;3;3;4;13;13;12;9;4;30;30;15;32;9;3;33;13;6;21;36;6;28;20;13;16;24;30;30;10;7;14;36;31;36;74;18;16;22;18;1;1;41;17;23;102;14;27;20;14;16260
"221100 Teresina";2808;2439;3099;3997;4194;2982;2753;2533;638;2843;2290;2758;3113;2682;3236;3827;2953;3562;3549;2718;2691;2331;2119;1958;2745;2573;2512;1290;1640;1663;1549;1463;1490;1466;1490;-;3033;1701;1884;1480;1762;1608;-;1775;1549;1704;1628;2342;3821;2130;2065;1708;4437;3190;2880;-;3;-;2;3;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;128662
"230440 Fortaleza";106136;100952;11634;110952;98070;95936;80352;84330;72794;90734;71922;60598;80518;79654;-;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;3;1;2;1;-;-;-;-;-;1;-;-;-;-;-;-;7;10;11;7;7;1;4;7;3;1;1;1;-;1;1;-;-;-;1144661
