 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Capital e Ano/mês processamento
Capital: 110020 Porto Velho, 120040 Rio Branco, 130260 Manaus, 140010 Boa Vista, 150140 Belém, 160030 Macapá, 172100 Palmas, 211130 São Luís, 221100 Teresina, 230440 Fortaleza, 240810 Natal, 250750 João Pessoa, 261160 Recife, 270430 Maceió, 280030 Aracaju, 292740 Salvador, 310620 Belo Horizonte, 320530 Vitória, 330455 Rio de Janeiro, 355030 São Paulo, 410690 Curitiba, 420540 Florianópolis, 431490 Porto Alegre, 500270 Campo Grande, 510340 Cuiabá, 520870 Goiânia, 530010 Brasília
Procedimento: 0301060037 ATENDIMENTO DE URGENCIA EM ATENCAO BASICA
Período:2022-2023
"Capital";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"Total"
"120040 Rio Branco";441;464;710;579;910;879;1096;965;616;775;753;642;730;857;983;833;908;799;1064;1396;1198;1352;648;817;20415
"130260 Manaus";8;37;25;18;17;16;30;1470;15;3;869;488;859;848;-;885;1105;744;767;992;661;662;654;-;11173
"140010 Boa Vista";-;-;3;1;3;-;4;11;12;7;6;3;-;-;1;113;-;2;-;-;-;-;-;-;166
"150140 Belém";21055;10468;5929;5765;7161;6871;8282;7085;7775;7439;7919;7249;6983;5735;5636;8916;9117;9334;6878;7799;8611;7807;8156;8145;196115
"160030 Macapá";13908;1079;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14987
"172100 Palmas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;436;-;7;-;3;-;3;4;-;-;454
"211130 São Luís";9;3;33;13;6;21;36;6;28;20;13;16;24;30;30;10;7;14;36;31;36;74;18;16;530
"221100 Teresina";3821;2130;2065;1708;4437;3190;2880;-;3;-;2;3;2;1;-;-;-;-;-;-;-;-;-;-;20242
"230440 Fortaleza";-;1;3;1;2;1;-;-;-;-;-;1;-;-;-;-;-;-;7;10;11;7;7;1;52
"240810 Natal";4470;3052;3470;6514;3958;6095;3708;8066;4884;4944;2888;3392;4126;5908;2657;4451;4518;3475;3210;5472;5023;6994;4648;5067;110990
"250750 João Pessoa";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;157;128;185;432;206;183;154;1453
"261160 Recife";930;727;937;829;865;834;658;790;768;1071;866;952;912;875;1157;1009;887;928;942;1033;1102;955;813;623;21463
"270430 Maceió";-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"280030 Aracaju";-;-;-;-;-;-;-;-;-;-;8;83;139;96;103;100;72;59;85;58;3;-;-;-;806
"292740 Salvador";1426;1597;1503;1542;1583;1375;1673;1747;85;87;92;1574;121;106;32;135;137;5;426;845;6;977;511;1033;18618
"310620 Belo Horizonte";282;70;248;172;201;195;150;83;351;104;182;190;12;8;86;587;1;395;243;97;238;136;6;122;4159
"320530 Vitória";2;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;4;1;-;13
"330455 Rio de Janeiro";7432;1028;859;1112;4553;3637;5556;5052;9176;8562;9399;8368;10023;8666;12572;10323;11278;11423;12039;14795;11786;13972;11591;11291;204493
"355030 São Paulo";469509;363576;475081;465865;522041;547645;439633;466204;438778;475211;495733;401724;399633;421444;554481;509336;579683;512345;441037;522882;473320;500900;457287;422407;11355755
"410690 Curitiba";4175;4191;4949;3945;4375;4095;3591;3848;3501;3739;3614;3770;4036;3182;4713;4392;4893;4510;4132;4962;4995;5322;4943;3633;101506
"420540 Florianópolis";732;735;1063;1056;859;948;956;1017;1087;971;999;896;1115;993;1076;973;1055;974;1092;1169;1083;1155;1068;1080;24152
"431490 Porto Alegre";807;782;867;732;811;690;794;678;670;670;768;609;565;569;583;617;583;571;534;550;568;584;526;354;15482
"500270 Campo Grande";88;79;77;83;75;86;100;145;86;123;112;89;138;129;113;133;125;105;138;160;147;145;191;198;2865
"510340 Cuiabá";469;447;661;663;422;363;32;121;250;414;472;183;60;3;1;1;9;10;251;269;163;573;211;146;6194
"520870 Goiânia";652;582;620;685;680;687;590;1304;2001;1580;1664;1179;2139;1832;1798;1440;1663;1482;1173;1428;1052;852;699;912;28694
"530010 Brasília";421;157;191;149;36;21;48;21;65;27;13;56;35;20;55;37;20;24;43;31;16;11;26;17;1540
"Total";530637;391209;499294;491440;552996;577649;469818;498613;470151;505748;526372;431468;431652;451302;586513;544291;616068;547356;474229;564165;510454;542692;492187;456016;12162320
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
