 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Capital e Ano/mês processamento
Capital: 110020 Porto Velho, 120040 Rio Branco, 130260 Manaus, 140010 Boa Vista, 150140 Belém, 160030 Macapá, 172100 Palmas, 211130 São Luís, 221100 Teresina, 230440 Fortaleza, 240810 Natal, 250750 João Pessoa, 261160 Recife, 270430 Maceió, 280030 Aracaju, 292740 Salvador, 310620 Belo Horizonte, 320530 Vitória, 330455 Rio de Janeiro, 355030 São Paulo, 410690 Curitiba, 420540 Florianópolis, 431490 Porto Alegre, 500270 Campo Grande, 510340 Cuiabá, 520870 Goiânia, 530010 Brasília
Procedimento: 0301060037 ATENDIMENTO DE URGENCIA EM ATENCAO BASICA
Período:2018-2020
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"110020 Porto Velho";1;8;12;-;1;3;-;1;7;-;-;-;7;5;-;-;1;10;-;-;-;-;-;-;1;-;-;5;-;-;-;-;-;-;-;-;62
"120040 Rio Branco";88;93;1172;163;173;1246;31;593;2351;618;51;597;1062;604;97;163;223;77;253;667;663;772;415;270;927;836;986;438;323;387;429;513;631;730;727;447;19816
"130260 Manaus";145;221;340;555;842;939;603;719;455;544;354;230;238;256;240;315;176;143;200;130;90;153;140;68;89;78;44;-;19;115;244;233;195;138;61;59;9371
"140010 Boa Vista";66;127;136;2;9;-;1;15;3;-;2;1;7;5;-;5;-;-;8;5;10;6;-;55;-;42;-;-;69;-;-;-;10;4;-;-;588
"150140 Belém";6624;6772;11495;4889;3862;3449;2938;8468;3409;2844;8929;3393;11592;17269;4441;11983;4677;8702;14996;15353;3430;12557;8137;7189;14828;5934;7032;6157;2572;1674;2304;5298;3957;4987;1913;4186;248240
"160030 Macapá";16147;9;6891;13;-;12;-;21;18;22;9;-;-;14;2;-;2084;1695;15;18;-;5;1274;-;-;3;4;-;-;810;682;2331;78;1;6;2;32166
"172100 Palmas";183;174;189;190;173;228;252;159;230;196;159;172;151;100;196;169;98;108;190;107;111;399;374;567;337;602;307;173;192;263;245;142;259;157;131;158;7841
"211130 São Luís";767;611;763;721;589;721;572;596;615;589;637;555;637;501;702;519;598;266;391;586;575;650;635;54;493;427;79;138;105;-;159;-;-;-;4;7;15262
"221100 Teresina";2808;2439;3099;3997;4194;2982;2753;2533;638;2843;2290;2758;3113;2682;3236;3827;2953;3562;3549;2718;2691;2331;2119;1958;2745;2573;2512;1290;1640;1663;1549;1463;1490;1466;1490;-;87954
"230440 Fortaleza";106136;100952;11634;110952;98070;95936;80352;84330;72794;90734;71922;60598;80518;79654;-;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1144588
"240810 Natal";3066;2828;3446;3901;4850;3710;3974;4048;1801;3838;121;3372;3611;5242;5616;3946;2309;134;4368;2184;6711;6674;3775;1972;2006;1965;3866;2820;2812;2755;2728;1230;1278;1986;4395;12;113350
"250750 João Pessoa";62;6;25;54;42;37;20;3;4;3;2;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;7;270
"261160 Recife";1815;1380;1464;2093;1971;1913;1850;1609;1788;1578;1737;1912;1159;1308;1699;1491;1724;1371;1794;1781;1504;1795;1333;1374;1335;938;1078;821;769;792;43;832;686;961;889;897;49484
"270430 Maceió";324;227;235;225;259;221;160;275;260;227;279;383;336;384;331;274;222;228;219;205;183;185;212;-;-;-;2;-;2;-;-;-;-;1;-;-;5859
"280030 Aracaju";-;33;14;35;13;29;27;29;18;35;27;-;38;17;11;28;35;-;81;28;21;17;-;-;20;31;10;16;-;-;71;12;-;51;26;-;773
"292740 Salvador";2692;2532;2332;4177;3791;3857;4121;4173;3723;3305;4090;3949;3550;2977;2852;4189;3936;142;4505;273;746;607;863;1106;1384;645;493;762;68;184;478;429;1705;1293;1016;907;77852
