 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Capital e Ano/mês processamento
Capital: 110020 Porto Velho, 120040 Rio Branco, 130260 Manaus, 140010 Boa Vista, 150140 Belém, 160030 Macapá, 172100 Palmas, 211130 São Luís, 221100 Teresina, 230440 Fortaleza, 240810 Natal, 250750 João Pessoa, 261160 Recife, 270430 Maceió, 280030 Aracaju, 292740 Salvador, 310620 Belo Horizonte, 320530 Vitória, 330455 Rio de Janeiro, 355030 São Paulo, 410690 Curitiba, 420540 Florianópolis, 431490 Porto Alegre, 500270 Campo Grande, 510340 Cuiabá, 520870 Goiânia, 530010 Brasília
Procedimento: 0301060037 ATENDIMENTO DE URGENCIA EM ATENCAO BASICA
Período:2023-2024
"Capital";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"120040 Rio Branco";730;857;983;833;908;799;1064;1396;1198;1352;648;817;857;827;893;2142;846;939;994;773;721;631;528;427;22163
"130260 Manaus";859;848;-;885;1105;744;767;992;661;662;654;-;1119;512;595;693;774;747;1;5;2;5;1;7;12638
"140010 Boa Vista";-;-;1;113;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;116
"150140 Belém";6983;5735;5636;8916;9117;9334;6878;7799;8611;7807;8156;8145;8514;9433;10843;4899;5147;5638;4672;4912;5138;4681;4854;3733;165581
"172100 Palmas";-;-;436;-;7;-;3;-;3;4;-;-;1;-;-;2;-;-;-;-;-;-;-;-;456
"211130 São Luís";24;30;30;10;7;14;36;31;36;74;18;16;22;18;1;1;41;17;23;102;14;27;20;14;626
"221100 Teresina";2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"230440 Fortaleza";-;-;-;-;-;-;7;10;11;7;7;1;4;7;3;1;1;1;-;1;1;-;-;-;62
"240810 Natal";4126;5908;2657;4451;4518;3475;3210;5472;5023;6994;4648;5067;5173;5047;5714;6251;6014;3952;7485;5539;6283;6696;6276;7138;127117
"250750 João Pessoa";-;-;-;-;-;157;128;185;432;206;183;154;392;827;565;856;422;512;382;574;544;271;155;-;6945
"261160 Recife";912;875;1157;1009;887;928;942;1033;1102;955;813;623;762;2601;2194;1250;-;-;-;-;1;-;2;-;18046
"280030 Aracaju";139;96;103;100;72;59;85;58;3;-;-;-;-;-;23;-;7;-;3;5;-;1;25;-;779
"292740 Salvador";121;106;32;135;137;5;426;845;6;977;511;1033;367;62;259;445;167;158;192;65;76;150;45;1059;7379
"310620 Belo Horizonte";12;8;86;587;1;395;243;97;238;136;6;122;10;213;191;186;138;297;90;110;551;5;6;2;3730
"320530 Vitória";-;-;-;-;-;-;1;1;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"330455 Rio de Janeiro";10023;8666;12572;10323;11278;11423;12039;14795;11786;13972;11591;11291;14033;11701;13766;18910;17426;19694;19403;17467;19670;19945;16406;14397;342577
"355030 São Paulo";399633;421444;554481;509336;579683;512345;441037;522882;473320;500900;457287;422407;434812;484040;564374;659033;674880;539285;507357;561137;541268;487114;506117;383881;12138053
"410690 Curitiba";4036;3182;4713;4392;4893;4510;4132;4962;4995;5322;4943;3633;4777;4513;5268;6449;5652;5957;5915;6052;6053;6385;5499;4723;120956
"420540 Florianópolis";1115;993;1076;973;1055;974;1092;1169;1083;1155;1068;1080;936;829;1021;677;631;963;1361;1465;1444;1579;1472;1583;26794
"431490 Porto Alegre";565;569;583;617;583;571;534;550;568;584;526;354;178;175;142;153;23;32;76;175;163;171;148;150;8190
"500270 Campo Grande";138;129;113;133;125;105;138;160;147;145;191;198;178;157;191;212;83;145;93;141;46;49;32;30;3079
"510340 Cuiabá";60;3;1;1;9;10;251;269;163;573;211;146;206;165;252;241;154;160;108;154;233;264;105;203;3942
"520870 Goiânia";2139;1832;1798;1440;1663;1482;1173;1428;1052;852;699;912;1253;1047;1078;1413;1330;1534;1552;1317;1170;1788;1994;2413;34359
"530010 Brasília";35;20;55;37;20;24;43;31;16;11;26;17;17;7;15;3;14;7;15;11;34;21;-;-;479
"Total";431652;451302;586513;544291;616068;547356;474229;564165;510454;542692;492187;456016;473611;522181;607388;703817;713750;580038;549722;600005;583412;529783;543685;419760;13044077
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
