 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0301060061 ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"110020 Porto Velho";10425;10215;6951;10963;15147;10903;10865;10341;16400;11909;12782;12905;13280;13827;14059;14352;12929;12766;13001;12923;14410;12013;13997;14309;13951;12119;11252;7223;9714;12790;13876;15351;15309;21158;18314;19534;27069;25670;20946;17399;25990;19001;13824;13083;17367;12375;11823;20317;12358;7180;11935;8540;9156;9125;10185;6405;7577;6731;7859;7240;6277;9241;7633;9608;8736;6641;7633;8077;6925;8660;7981;7776;7936;8479;9681;10079;8488;8833;8460;8167;8139;8400;8214;7578;999060
"120040 Rio Branco";17219;4848;24984;27637;2728;19496;5163;5444;43547;14465;16282;20586;14124;15803;13644;13875;14314;13231;12804;12339;2045;20006;14413;14227;14199;13722;12391;10469;7815;8262;10857;12104;9816;11648;15268;16200;15000;13552;27767;22134;18979;15764;22462;17303;17583;15699;16569;19941;17748;21228;16130;14857;18657;16493;11668;17663;12580;28407;12145;17993;31075;26291;19745;23309;27005;22167;23258;22552;21612;24127;19947;20639;26377;24837;22767;15867;14711;18152;17515;15212;11864;9935;11848;12180;1417289
"130260 Manaus";150793;138036;155548;184110;194057;192086;194077;183948;171235;168705;149425;152276;165204;194192;157680;174975;175628;180834;127686;177433;182352;155328;192284;195827;196656;186745;72661;178502;77668;86393;120957;119069;117422;128904;126458;148978;87460;82185;94960;121731;115754;128482;108855;112999;107023;117778;101971;101656;76673;77770;92167;116900;113472;134362;114298;103063;99254;76325;106723;106311;132505;103396;162219;98683;178618;114248;123833;168294;130662;134261;162145;141679;192461;164618;140518;182986;176449;174283;172392;154791;150587;174383;157062;154342;11817719
"140010 Boa Vista";31513;28500;36970;33882;39347;39316;46194;41526;36212;35621;32526;29261;31017;32230;32303;33890;34586;36670;34915;33808;32008;31212;28323;27928;28296;25949;23634;13354;12909;14916;15764;17580;18378;19322;22082;23260;25552;19193;21883;22708;24889;23292;22403;19158;20447;24916;23606;22748;22372;18210;20794;23032;24535;9940;44487;26638;25245;27343;30423;25510;25296;25820;26801;24726;27127;28115;26425;26027;4344;31201;22237;72799;28531;27288;31700;29303;29048;32604;28102;28580;26938;26357;25535;23600;2303030
"150140 Belém";62485;62652;47190;66819;53390;48446;53702;51654;54064;48291;35135;41628;42111;48255;45487;46623;43429;53325;44289;45693;49055;46807;46203;45876;45885;51879;50249;28459;19372;64971;34153;36768;33405;39213;40420;31465;39803;38947;36159;39863;38871;161815;36254;39253;37665;44168;30393;33884;57976;53700;40144;39547;50615;38645;40861;42540;64505;37519;39448;38140;49222;42334;39373;45660;48356;44267;47001;47042;40792;44833;38497;34835;50758;31896;45413;37596;49981;46285;42130;46902;57189;56955;44440;49099;3860419
"160030 Macapá";1118;775;681;704;527;560;299;1011;774;588;625;14875;1123;869;13760;8280;8171;7109;7261;7859;8065;8002;6192;7260;7161;5913;4738;2586;4623;3202;3396;4398;6591;3;178;24260;304;15781;8314;242;15112;10538;277;20333;11058;12442;11768;8732;14714;15146;579;11064;11234;10217;637;24640;12779;7872;12308;12771;26;47;77;-;54;1016;21;12541;17240;32409;27791;51946;41689;37784;40104;44210;44057;38123;41987;39961;40465;39555;37453;43024;1053979
"172100 Palmas";6677;5355;6252;5823;4113;4652;4661;6433;5806;5494;6033;6313;6194;5332;4724;4479;4699;4191;4989;4378;4858;5915;4861;3825;4931;3714;3610;2331;2750;4261;3929;4575;4117;4350;3874;3455;3697;3642;2362;3214;4457;4628;4082;4123;4743;4481;4226;3464;3274;2906;3630;3150;1814;3149;2697;2852;3046;3260;2790;2905;3207;2277;3545;3397;3861;4003;2968;3899;3314;3745;3877;3209;4243;3634;7816;4754;4295;8332;2826;2939;4376;4586;4987;3571;352207
"211130 São Luís";43524;53873;53664;50003;56901;47831;44745;53267;50759;91880;48344;53073;61071;61091;53123;58320;53310;77941;62572;58735;64860;68224;59456;47202;63920;78776;59785;35412;26404;26876;46604;40437;35337;47694;41812;43026;52140;42642;45416;51762;56091;51572;45043;41133;45585;46114;52213;54285;64752;38269;45146;55643;58617;58088;56688;56385;55602;56311;61456;52897;53775;53436;64079;58291;63532;70171;57752;58013;51834;51031;60328;58673;61090;54975;67007;69651;64112;55107;59449;59312;58787;61038;62557;61340;4599042
"221100 Teresina";48170;48080;56414;60408;62218;52519;48071;45943;46718;45342;35526;44899;52007;45895;44640;53432;60326;54050;66950;48814;47976;42905;44824;41876;34753;49995;45874;22145;20550;26245;26582;26050;27833;25086;28050;30961;30526;29535;22999;20888;27806;23905;25898;25118;28354;28719;29121;34409;39859;34258;40935;46946;55559;42173;38700;40778;36743;40744;33309;45218;39075;38018;54125;54872;49017;49865;50019;41419;40850;48788;41864;50364;43476;41175;68338;52767;58410;52570;45699;47482;53305;52526;50261;46089;3555001
"230440 Fortaleza";35161;33759;45872;55255;35889;38560;39243;40466;35082;41604;38705;35592;45469;37320;39742;37542;35320;43590;47860;45673;36745;52927;47699;45431;51150;53702;51842;27857;22738;27276;34692;37519;37134;38746;39849;39867;40184;37467;33831;36557;40485;30506;40845;42307;41053;44207;38604;45303;38095;28676;44976;47359;47546;45894;42915;43383;42230;43583;42938;39860;38325;36589;42464;41498;38296;33804;31168;37792;34340;40537;41855;32588;33365;33022;38179;45516;39568;37732;37130;37212;35308;35717;34015;32605;3320307
