 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0301060053 ATENDIMENTO DE URGENCIA EM ATENCAO PRIMARIA COM REMOCAO
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"110020 Porto Velho";-;-;-;-;-;-;-;-;19;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65
"120040 Rio Branco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"130260 Manaus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"140010 Boa Vista";292;254;226;244;215;247;310;265;245;314;277;295;262;239;194;248;248;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4377
"150140 Belém";227;185;168;207;169;306;180;90;156;173;134;113;150;504;142;129;111;176;196;244;181;128;169;147;232;321;74;87;43;86;108;101;291;383;88;114;155;101;106;114;128;123;324;278;84;267;46;159;25;156;50;34;110;92;118;75;99;35;72;93;129;108;78;122;141;85;100;87;43;139;58;36;131;138;161;122;167;168;68;178;113;133;75;198;11935
"160030 Macapá";30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;25;-;-;-;-;38;-;-;-;-;-;-;12;39;53;1;-;-;-;-;-;-;-;-;-;-;-;-;27;-;27;35;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;343
"211130 São Luís";244;1540;191;391;284;261;293;502;393;528;486;443;278;244;297;349;268;82;365;324;382;1153;639;66;91;117;122;29;1;143;95;73;69;86;47;64;87;37;32;51;50;51;64;73;153;21;32;61;46;45;45;45;91;59;-;55;87;45;51;68;56;53;54;46;48;60;40;61;40;65;61;65;40;40;74;77;57;54;52;47;56;81;64;40;13620
"240810 Natal";36;12;11;38;21;16;20;12;18;24;6;25;8;21;19;12;21;-;6;11;426;420;283;127;141;297;356;32;81;56;37;64;183;219;241;-;224;233;241;230;234;258;-;217;233;236;330;242;209;246;314;238;208;237;243;314;33;16;11;12;212;16;215;203;21;20;232;253;230;204;20;196;197;262;289;266;262;12;266;268;264;214;236;200;12617
"250750 João Pessoa";15;58;68;99;-;-;-;-;39;39;26;22;22;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;29;30;40;65;564;564;564;564;825;817;817;817;564;965;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;7654
"261160 Recife";159;147;154;146;136;127;110;135;131;127;139;129;133;106;110;166;148;151;120;132;120;150;125;193;163;119;130;116;84;98;73;103;99;69;34;76;91;132;129;131;146;147;175;132;207;137;145;125;124;115;130;56;83;65;60;165;168;114;131;63;158;121;144;87;98;53;102;111;96;81;142;156;194;158;181;90;97;74;174;151;160;93;74;1;10225
