 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0413010023 ATENDIMENTO DE URGENCIA EM PEQUENO QUEIMADO
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"110020 Porto Velho";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"120040 Rio Branco";16;3;18;15;-;43;16;15;17;15;6;15;15;10;7;20;10;5;10;20;12;40;21;20;10;20;20;12;15;-;40;10;20;1;5;15;4;14;38;40;21;40;8;5;4;1;-;-;5;7;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;740
"130260 Manaus";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150140 Belém";-;-;-;-;54;8;-;-;-;3;6;-;-;-;-;1;-;-;-;-;-;-;4;-;-;6;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;40;36;-;26;36;36;32;46;23;-;-;23;31;18;35;23;25;46;45;50;37;46;50;47;50;10;30;942
"211130 São Luís";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;4;1;-;-;-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"250750 João Pessoa";4;5;8;5;3;9;3;2;7;1;-;2;7;4;5;6;-;2;2;1;1;7;7;9;8;3;7;-;-;-;-;3;2;1;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;131
"261160 Recife";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;3;1;-;-;-;-;-;-;4;7;-;2;-;-;-;1;2;6;-;3;1;-;37
"270430 Maceió";-;-;-;2;-;-;-;1;2;-;-;-;-;-;1;-;3;6;-;1;1;1;-;2;2;-;2;-;-;-;1;1;-;-;2;4;1;2;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;10;11;-;-;-;16;-;11;5;4;-;14;-;-;-;-;-;-;134
"292740 Salvador";87;46;169;133;227;30;28;203;113;246;11;209;7;7;217;10;8;-;8;8;6;9;8;13;11;18;16;6;4;8;8;6;18;10;-;5;11;13;9;8;19;9;5;3;14;6;12;6;-;15;-;5;3;-;-;-;-;-;-;28;-;-;-;-;-;-;13;38;-;46;28;51;11;-;14;18;6;7;7;-;-;7;-;47;2372
"330455 Rio de Janeiro";8;2;9;9;11;4;2;6;4;2;1;1;-;-;-;2;-;1;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;71
"355030 São Paulo";9;17;10;2;2;7;4;6;9;1;5;5;17;2;4;6;7;6;7;1;6;3;4;6;5;2;2;1;-;-;5;7;3;2;2;4;7;3;4;-;1;1;-;1;-;-;1;-;2;1;-;4;1;-;-;1;1;-;-;-;3;6;1;3;4;-;2;8;16;10;12;3;9;7;8;4;2;5;5;1;5;9;21;18;369
