 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0301080399 MATRICIAMENTO DE EQUIPES DOS PONTOS DE ATENCAO DA URGENCIA E EMERGENCIA, E DOS SERVICOS HOSPITAL
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"110020 Porto Velho";68;21;60;44;-;-;-;2;7;-;6;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;228
"120040 Rio Branco";7;5;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;3;-;-;-;3;1;2;-;-;-;3;1;1;-;1;-;2;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;43
"130260 Manaus";-;-;-;-;3;-;-;10;-;-;1;1;-;-;-;1;-;2;-;1;-;-;-;3;6;6;-;-;-;-;1;-;5;-;-;-;-;1;-;4;1;-;-;5;-;1;-;-;-;-;-;-;-;3;1;10;5;5;-;-;2;2;1;-;-;2;2;2;6;-;-;-;-;2;4;-;1;-;8;-;-;-;-;-;108
"140010 Boa Vista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150140 Belém";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;1;-;-;1;2;-;-;-;2;1;-;-;-;-;-;-;-;-;1;-;8;7;4;2;6;-;9;11;-;3;-;3;-;-;-;-;-;3;-;-;1;-;-;1;-;1;1;-;2;-;1;1;-;1;-;-;-;-;-;10;-;10;97
"172100 Palmas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;5;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;12
"211130 São Luís";-;15;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;1;-;-;1;-;-;45;5;5;-;-;-;-;-;5;-;-;62;62;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;-;1;221
"221100 Teresina";-;1;1;-;1;-;-;-;-;1;4;3;-;6;-;3;4;1;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;2;-;5;1;2;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;65
"230440 Fortaleza";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;1;1;-;-;2;-;-;1;2;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;2;-;-;-;-;1;1;-;11;1;3;42
"240810 Natal";-;-;3;-;-;2;3;-;4;-;8;-;-;-;3;-;-;-;10;12;-;156;-;-;-;44;1;8;-;3;1;-;-;2;2;-;4;-;5;3;3;6;2;-;2;5;5;-;3;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;305
"250750 João Pessoa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;231;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;1;2;238
"261160 Recife";9;12;23;36;12;14;27;14;6;51;17;6;16;12;27;28;49;39;37;44;49;43;59;42;55;49;31;45;31;26;54;60;64;38;103;30;72;33;82;61;59;42;72;51;54;77;55;68;65;40;48;48;50;36;17;39;41;33;14;41;23;54;44;36;77;63;55;70;26;26;37;36;42;24;63;71;95;76;61;42;66;93;69;65;3770
"270430 Maceió";2;-;2;1;2;-;-;6;3;-;-;-;-;3;-;1;-;6;-;-;5;-;1;-;-;-;3;-;-;-;1;6;4;2;5;-;1;-;3;10;3;9;-;-;-;1;4;-;1;1;4;2;7;-;3;2;1;6;3;1;3;1;1;1;6;-;-;1;2;-;-;-;-;-;1;-;-;-;2;-;1;-;1;-;135
"280030 Aracaju";-;1;-;10;2;4;-;-;6;70;6;6;6;7;12;4;4;2;8;3;1;13;4;1;-;3;3;1;2;7;5;1;9;-;10;10;3;12;7;2;13;10;14;6;5;22;15;31;4;20;10;11;19;6;18;11;4;6;21;8;12;4;12;2;5;15;6;6;9;7;-;9;-;6;2;1;1;2;4;2;2;6;3;1;616
"292740 Salvador";2;2;7;2;27;3;6;1;1;13;2;3;6;2;2;3;3;1;1;9;12;5;1;2;15;32;9;70;2;1;4;2;2;1;3;8;3;5;7;2;2;2;2;2;3;3;2;2;2;4;3;3;5;3;2;2;1;-;2;-;-;-;-;-;-;-;3;1;10;4;4;-;3;2;2;1;1;8;2;26;7;1;-;8;410
"310620 Belo Horizonte";-;-;-;-;21;15;2;35;32;15;9;15;7;3;5;5;21;7;6;9;9;10;10;24;5;11;8;12;10;38;7;13;18;25;18;11;16;20;22;17;29;13;11;8;15;23;17;13;15;15;13;25;23;15;27;25;12;12;12;12;11;4;-;8;8;9;9;3;4;4;6;7;9;4;6;7;5;8;7;9;-;8;-;1;983
"320530 Vitória";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;-;3;1;2;1;4;-;-;-;2;-;2;1;-;1;1;-;-;1;1;1;29
"330455 Rio de Janeiro";384;297;367;280;251;278;194;277;282;600;282;404;148;247;322;239;244;273;331;379;427;383;330;308;364;459;337;254;227;315;366;340;382;407;586;523;580;714;650;944;786;634;690;878;1123;664;607;430;679;628;550;416;523;329;483;622;711;1044;913;859;564;543;433;224;665;467;302;361;283;382;291;258;282;149;225;169;234;278;312;206;209;155;206;194;35936
"355030 São Paulo";154;179;168;221;226;232;208;282;207;223;256;181;242;238;242;224;299;247;252;262;326;293;242;167;195;169;119;201;177;261;250;252;327;365;367;276;411;390;327;337;387;408;362;399;387;387;311;284;212;270;405;295;346;377;316;347;303;380;305;352;384;299;362;346;349;354;367;388;332;295;335;258;364;341;333;422;395;342;365;442;426;488;450;357;25622
