 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Capital e Ano/mês atendimento
Capital: 110020 Porto Velho, 120040 Rio Branco, 130260 Manaus, 140010 Boa Vista, 150140 Belém, 160030 Macapá, 172100 Palmas, 211130 São Luís, 221100 Teresina, 230440 Fortaleza, 240810 Natal, 250750 João Pessoa, 261160 Recife, 270430 Maceió, 280030 Aracaju, 292740 Salvador, 310620 Belo Horizonte, 320530 Vitória, 330455 Rio de Janeiro, 355030 São Paulo, 410690 Curitiba, 420540 Florianópolis, 431490 Porto Alegre, 500270 Campo Grande, 510340 Cuiabá, 520870 Goiânia, 530010 Brasília
Procedimento: 0301060061 ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA
Período:2018-2020
"Capital";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"110020 Porto Velho";-;-;-;10400;10215;10026;11286;11749;10902;10865;10311;16398;10392;12822;12846;13279;13891;14222;14626;12979;12846;12623;12168;14375;12177;13958;14113;14218;11817;11377;7395;9385;12632;13891;14543;14685;20276;16600;15399;461687
"120040 Rio Branco";-;-;10398;16459;15332;15672;15547;16396;14434;15107;14699;14517;17220;16037;18076;17032;13057;18088;11726;11857;13231;12804;12339;10327;11724;14413;14227;14199;13722;12707;10366;7714;10355;10118;11535;8919;11648;15268;16200;503470
"130260 Manaus";-;-;-;150793;138279;161266;193902;193954;188578;183475;183871;176266;173209;159142;146628;170366;199321;164980;173970;170093;185625;118581;180684;183311;155158;187953;183590;226354;171020;158895;84734;64235;81218;120241;120592;124675;128898;124882;141725;5670464
"140010 Boa Vista";-;-;-;31513;28512;36985;33885;39379;46874;38901;41275;36171;35603;32513;29257;31023;32239;32437;33756;34572;36707;34881;33818;32015;31213;28319;27980;28226;25951;23650;13356;12896;14918;15767;17587;18388;20316;21489;22830;1055202
"150140 Belém";-;-;-;60008;60000;43628;56842;48525;43725;49905;52325;47318;38315;32315;42132;42649;41961;44129;45371;38784;50974;43447;44327;47293;45660;45996;44498;46133;50538;44986;27168;31534;54353;33685;35123;34256;38680;38945;30929;1576457
"160030 Macapá";-;-;626;492;775;681;704;527;560;299;1011;774;588;10957;4543;1123;6964;7665;8280;8171;7109;7261;7859;8065;8002;6192;7260;7161;6452;5165;2669;3933;2856;3383;4398;6591;7991;8744;7706;173537
"172100 Palmas";-;-;75;6605;5354;6250;5823;4113;4652;4661;6399;5806;5445;6033;6313;6194;5332;4724;4479;4699;4191;4989;4378;4858;5915;4861;3825;4931;3714;3610;2331;2750;4261;3929;4575;4117;4350;3874;3455;171871
"211130 São Luís";-;-;-;50550;46847;53524;49953;56612;47831;58114;64442;59425;58559;48344;52976;66234;55731;54324;57170;67703;62715;62326;63683;60413;67723;59456;47202;63814;78672;59785;35412;28096;28914;42874;40437;35337;47694;41812;43026;1917730
"221100 Teresina";-;-;1;48171;48100;56392;60408;62218;52527;48063;45943;46724;45336;35541;44884;52007;45895;44672;53451;60326;53999;66950;48957;47971;42813;44778;41876;34753;49995;45874;22145;20625;26170;26582;25718;27833;25385;27626;30961;1561670
"230440 Fortaleza";-;-;-;34961;33787;44653;53258;35095;37817;38402;39912;34403;40250;37710;34896;43405;36651;39045;36673;34236;42863;46285;43933;34482;51912;46916;44745;50277;51820;50398;27156;22127;26806;34142;37017;37133;38419;39107;39446;1420138
"240810 Natal";-;-;-;9000;12650;10164;10884;10437;8665;13108;11280;9917;19815;7583;12440;5420;10746;17114;12007;14778;11330;13423;21165;16436;12419;9813;15458;10804;11669;15652;16020;5025;23592;10619;29086;12901;26526;15446;15416;488808
"250750 João Pessoa";-;6;884;15660;17709;19116;20131;17507;13074;15036;15857;15327;16957;16941;15860;15759;16482;18208;25935;24239;21620;20172;20358;19254;20680;19088;17786;20170;15930;13331;8580;11256;6198;12339;12876;12835;12277;11447;13519;590404
"261160 Recife";-;421;1569;56145;42872;43360;67136;53156;51052;46659;41348;54352;67646;50872;51331;65070;49941;55836;56444;60019;49708;54453;54390;57206;55284;54232;50414;47718;40872;41255;20236;16214;19904;32895;32657;35314;34671;34652;27860;1675164
"270430 Maceió";-;-;-;32271;30588;33423;35094;41688;31581;33552;32158;31680;30058;31834;30789;36518;30380;33641;36242;39673;37585;38132;40400;38959;37408;38161;42110;47235;39142;42604;27338;27943;23105;26902;33933;30347;15926;16026;17247;1191673
"280030 Aracaju";-;-;-;28510;26716;29922;24483;32527;25248;28032;29010;26019;32930;33301;26088;12196;9996;10146;13041;12691;4863;7550;11530;12032;12911;11909;10813;9985;10753;9267;4714;4789;4883;5296;6235;7236;8005;7586;17774;568987
"292740 Salvador";-;-;-;30487;28082;35641;40491;37061;30857;34082;28559;28787;28795;31739;21099;24856;23012;22325;36415;38320;33900;32283;33846;34839;32639;55663;28095;29297;31287;26501;15640;14251;12247;14247;16182;17425;18798;18148;18255;1004151
"310620 Belo Horizonte";-;-;2215;23197;22474;25548;24842;24617;20466;19244;22494;22915;24524;25107;25174;25200;25677;26713;30934;32013;29608;28941;31014;27793;28282;29505;26619;27334;27591;20912;13863;14783;13558;15138;17318;20399;25704;20901;25143;867760
"320530 Vitória";-;-;3;19252;16181;16866;16428;20226;19770;19117;18808;19784;26942;19753;17044;18827;18422;19893;21673;22593;20425;17433;20131;18984;18243;18173;16697;16561;14106;14598;8368;8806;7601;6739;7719;7931;8142;15260;11382;588881
"330455 Rio de Janeiro";6074;6143;8455;35957;31832;41168;51912;51374;43355;51448;41876;39516;41296;54385;42033;32072;31140;37889;41913;43010;39626;40348;33513;41832;47010;43813;40614;40415;34632;34626;22997;25839;21101;30612;29370;29123;28720;21808;19939;1358786
