 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Capital e Ano/mês processamento
Capital: 110020 Porto Velho, 120040 Rio Branco, 130260 Manaus, 140010 Boa Vista, 150140 Belém, 160030 Macapá, 172100 Palmas, 211130 São Luís, 221100 Teresina, 230440 Fortaleza, 240810 Natal, 250750 João Pessoa, 261160 Recife, 270430 Maceió, 280030 Aracaju, 292740 Salvador, 310620 Belo Horizonte, 320530 Vitória, 330455 Rio de Janeiro, 355030 São Paulo, 410690 Curitiba, 420540 Florianópolis, 431490 Porto Alegre, 500270 Campo Grande, 510340 Cuiabá, 520870 Goiânia, 530010 Brasília
Procedimento: 0301030014 SAMU 192:ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS, 0301030146 SAMU 192: ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS COM ORIENTAC
Período:2018-2020
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"110020 Porto Velho";1767;1943;2172;-;3813;1817;1607;2173;1957;2347;1808;1875;1701;2065;1509;1973;1536;1317;1178;1257;1218;1401;740;1147;1563;1295;1377;1825;1473;2324;2870;8730;9077;2638;8923;4118;86534
"120040 Rio Branco";3207;2636;3942;3591;3737;3403;3278;3212;3341;3195;2923;2981;2950;2901;3446;3358;3258;3193;3013;3338;3163;3211;3240;3326;3231;3171;3647;3732;5207;4019;3484;3473;3154;3456;3498;3298;121213
"130260 Manaus";47528;39825;46371;44604;45474;42209;44358;47148;42979;39839;39604;40632;37015;31607;34672;31416;33252;32845;32679;31765;31219;29290;29909;31318;29157;27713;-;36427;-;-;28402;27286;27398;28912;27937;27891;1168681
"140010 Boa Vista";2189;2824;2792;3074;2974;3395;3006;3835;3650;3367;2833;2824;2499;2947;2706;3221;2775;2856;2859;2972;2840;3011;2823;4187;2799;3119;3226;2867;3263;3372;2576;2624;2736;2687;2872;2821;107421
"150140 Belém";32928;34015;37935;35663;33179;34442;33415;30477;34839;36214;34785;34048;31416;26470;31350;31473;30168;29862;25905;28856;28783;26786;27010;25394;24992;25135;29607;28695;25070;23306;22737;24962;25142;25158;25359;25794;1061370
"160030 Macapá";6788;6772;7950;7338;7504;7468;6870;7014;7881;8216;-;-;24579;5492;5888;5106;-;-;5576;-;11276;6168;5737;5760;5473;5489;5838;6310;7119;4648;4736;4353;4750;4630;3915;4374;211018
"172100 Palmas";-;-;3099;8886;3506;3286;3415;4456;3849;3788;3666;4077;4168;3884;4258;3420;4364;4358;3786;3839;3565;3751;4086;4574;3440;3914;4744;3482;3926;3524;4295;4231;3628;3470;3515;3710;135960
"211130 São Luís";5957;9430;11029;14812;14891;16096;17209;203;194;17635;17640;16271;15994;12705;11622;13430;14923;14543;14721;-;-;16388;16287;-;16779;-;-;-;28061;22443;23063;24089;23895;24324;24220;24449;483303
"221100 Teresina";7025;7145;43823;8275;8664;7478;7977;7500;8054;8485;8143;7830;7900;7295;8556;8258;8213;7945;7836;8838;8920;9373;8608;8626;8429;7764;12382;11029;12504;12380;28225;25742;15232;23527;25701;23981;437663
"230440 Fortaleza";11873;11873;11873;11873;11873;11873;11873;11873;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;29758;29758;29758;31362;30822;453442
"240810 Natal";5022;4716;5941;5805;6115;5531;5510;5827;6111;5884;5706;5752;5870;5287;6136;6475;6618;1262;1302;1254;1182;1153;7134;7267;6979;6211;8187;11264;12525;11635;9467;7391;11165;11264;11292;11368;237608
"250750 João Pessoa";444;467;351;474;532;471;495;504;478;552;499;550;543;491;604;555;60718;28877;28203;28864;25099;27008;30310;30376;30390;28687;29913;28675;31145;26931;27558;27580;25246;28142;26289;26464;604485
"261160 Recife";55135;54601;66577;64468;71035;65665;62474;67016;59234;56622;51894;52875;47686;45607;54034;48170;49796;49882;53296;78112;76344;78763;76472;80379;75699;71802;74422;81429;94708;75132;73639;75224;74272;77704;75865;77942;2393975
"270430 Maceió";42096;35790;34676;33994;30926;34172;35052;31273;29521;55157;16581;17498;15044;15279;17021;15822;13515;12306;13371;15378;14964;15032;15525;14970;13360;11523;13032;-;14155;12644;11964;11478;10098;9462;8161;8612;699452
"280030 Aracaju";22190;20519;26868;30400;38223;31552;28431;28666;26285;-;52184;28339;29559;-;62652;29591;33649;30546;29807;31788;33237;32943;34121;34523;32609;32757;34126;30968;32912;31800;32542;34758;33234;36011;35396;33761;1116947
"292740 Salvador";50903;50168;52087;48962;57341;61665;60165;68345;62219;60289;59047;56375;57633;51585;53747;36321;41357;58294;84771;60076;59760;51628;19480;59328;59256;49654;65435;49538;66105;49232;49952;59668;49628;58807;55771;47069;1981661
"310620 Belo Horizonte";55054;48488;56200;57756;56454;51603;51119;47337;49535;50687;52311;52688;51787;48160;56682;58110;65892;58404;59895;57058;58655;57954;56644;58760;63286;55700;61950;48030;25141;51081;59418;52352;51027;53256;59065;65454;1962993
"320530 Vitória";87961;73370;73837;71860;79826;67323;66185;71763;65099;75270;62036;59790;63086;61731;60847;63563;70110;64591;64120;77095;71519;66551;58932;55390;53715;51714;49679;59401;65483;53785;44013;42541;43518;37745;40880;49364;2223693
"330455 Rio de Janeiro";-;201121;-;203034;-;216030;-;-;292504;-;-;194894;103871;-;186759;-;-;297519;-;-;255541;-;177754;1160;1082;1111;-;1121;-;38311;30156;11742;8986;38740;40648;41879;2343963
"355030 São Paulo";172580;158036;183952;169379;169290;164493;150139;151649;160661;166529;160534;170084;158644;148425;173737;160519;146727;142824;141328;142654;140040;140015;131336;140361;124439;121720;136602;113710;129578;122798;119657;126363;130529;129830;134976;142840;5276978
