 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Capital e Ano/mês processamento
Capital: 110020 Porto Velho, 120040 Rio Branco, 130260 Manaus, 140010 Boa Vista, 150140 Belém, 160030 Macapá, 172100 Palmas, 211130 São Luís, 221100 Teresina, 230440 Fortaleza, 240810 Natal, 250750 João Pessoa, 261160 Recife, 270430 Maceió, 280030 Aracaju, 292740 Salvador, 310620 Belo Horizonte, 320530 Vitória, 330455 Rio de Janeiro, 355030 São Paulo, 410690 Curitiba, 420540 Florianópolis, 431490 Porto Alegre, 500270 Campo Grande, 510340 Cuiabá, 520870 Goiânia, 530010 Brasília
Procedimento: 0301030146 SAMU 192: ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS COM ORIENTAC
Período:2022-2023
"Capital";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"Total"
"110020 Porto Velho";1195;282;225;195;222;214;223;171;189;247;-;382;212;147;215;170;193;157;199;212;111;146;-;126;5433
"120040 Rio Branco";101;112;201;208;106;201;183;192;80;136;101;150;-;42;8;22;131;115;153;128;75;96;72;77;2690
"130260 Manaus";116;91;92;45;-;269;120;62;51;19;336;36;107;276;130;120;8;94;485;71;418;56;120;83;3205
"140010 Boa Vista";784;906;619;578;704;-;1654;1472;289;1613;688;1616;1277;1382;1293;913;1064;1023;2093;820;599;669;-;1238;23294
"150140 Belém";6000;6000;6000;6230;7541;6425;6926;6936;6859;7372;7074;7136;7093;6495;6459;6534;6309;6706;6707;4109;3563;3699;3479;4379;146031
"160030 Macapá";-;1253;519;502;381;619;665;665;682;682;549;602;513;437;465;521;659;467;348;229;412;548;459;484;12661
"172100 Palmas";1330;914;862;954;959;955;824;922;786;690;786;786;674;649;820;895;1213;799;572;815;786;710;629;717;20047
"211130 São Luís";2271;1271;1531;1534;1520;1609;1423;1198;1261;1298;1513;1151;1332;1466;1965;1757;1522;1528;-;1395;1150;1299;1281;1378;33653
"221100 Teresina";2308;1030;361;2216;1003;403;1164;696;998;577;301;895;571;304;794;717;228;665;668;616;-;799;542;553;18409
"230440 Fortaleza";2661;2873;97;258;94;160;160;120;60;50;4;53;86;78;78;90;139;271;283;395;339;360;386;488;9583
"240810 Natal";-;2772;1152;1208;1320;1111;1067;1028;878;856;1018;1055;1002;903;1039;1173;1199;970;963;977;985;955;974;958;25563
"250750 João Pessoa";701;498;497;475;571;580;549;523;474;399;459;371;373;372;350;328;401;407;409;436;394;408;390;431;10796
"261160 Recife";11193;9334;9905;10014;10256;10486;10833;11085;10726;10919;10576;10785;10730;9829;10952;11355;11119;10731;11278;11206;10861;10830;10789;10999;256791
"270430 Maceió";322;267;384;357;324;393;325;359;228;207;163;146;196;156;335;377;350;262;214;216;204;4500;222;179;10686
"280030 Aracaju";1300;361;342;347;350;342;342;237;323;340;384;291;258;259;325;344;313;270;229;251;255;244;216;245;8168
"292740 Salvador";17689;17689;17689;70756;19667;69742;15818;16675;14833;15225;8558;8709;23109;23109;24781;23109;27711;54160;23109;27160;52399;22089;28521;28872;651179
"310620 Belo Horizonte";13916;9581;10143;9644;9898;10117;10602;9715;9804;9803;9709;9470;8871;8919;10277;9864;9933;9569;9410;9896;10125;10445;11263;11202;242176
"330455 Rio de Janeiro";18305;13822;15335;9010;15184;15494;15617;14866;14721;16328;15244;15274;15835;15217;16917;15297;15676;15460;15655;15236;15948;19226;20638;21589;381894
"355030 São Paulo";34994;29097;32546;31215;33481;32458;31906;31718;31169;33766;33481;33481;31530;30542;35204;31826;34364;-;33800;34775;34376;34602;35530;36949;762810
"410690 Curitiba";2804;2102;1855;1954;2303;1796;1830;1932;1854;1733;1618;1712;1499;1393;1712;1605;1588;1507;1543;1411;1338;1479;1394;1434;41396
"420540 Florianópolis";2865;1594;1559;1461;1513;1399;1517;1562;1470;-;1635;3680;2074;1673;1635;2246;2387;1678;1641;1755;2027;1732;1995;2280;43378
"431490 Porto Alegre";23406;16713;15097;15766;17952;16402;16373;4193;14015;15096;15594;18496;15934;12866;105118;14640;11948;20309;15276;4549;5003;15737;5761;17323;433567
"500270 Campo Grande";64;36;52;46;59;52;53;31;34;55;62;42;32;30;52;79;36;40;41;48;45;44;38;34;1105
"510340 Cuiabá";1272;-;2147;1071;1658;1109;1218;943;6036;970;1090;1995;1056;18;1171;1146;1176;1179;1221;1214;1356;1540;1340;1377;33303
"520870 Goiânia";-;3258;1608;1311;1492;1479;1317;1222;1332;1292;1139;1303;1078;1120;1378;1097;1275;1270;1220;1172;1081;1065;908;993;30410
"530010 Brasília";8993;7266;8244;8737;7852;7634;7168;6863;7447;6358;7055;6164;6974;6277;7693;8313;7648;7338;6216;7219;8091;7703;6977;8053;178283
"Total";154590;129122;129062;176092;136410;181449;129877;115386;126599;126031;119137;125781;132416;123959;231166;134538;138590;136975;133733;126311;151941;140981;133924;152441;3386511
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
