 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Capital e Ano/mês processamento
Capital: 110020 Porto Velho, 120040 Rio Branco, 130260 Manaus, 140010 Boa Vista, 150140 Belém, 160030 Macapá, 172100 Palmas, 211130 São Luís, 221100 Teresina, 230440 Fortaleza, 240810 Natal, 250750 João Pessoa, 261160 Recife, 270430 Maceió, 280030 Aracaju, 292740 Salvador, 310620 Belo Horizonte, 320530 Vitória, 330455 Rio de Janeiro, 355030 São Paulo, 410690 Curitiba, 420540 Florianópolis, 431490 Porto Alegre, 500270 Campo Grande, 510340 Cuiabá, 520870 Goiânia, 530010 Brasília
Procedimento: 0301030146 SAMU 192: ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS COM ORIENTAC
Período:2023-2024
"Capital";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"110020 Porto Velho";212;147;215;170;193;157;199;212;111;146;-;126;154;159;136;132;104;139;123;105;101;46;90;87;3264
"120040 Rio Branco";-;42;8;22;131;115;153;128;75;96;72;77;61;61;65;54;765;930;880;811;683;663;618;793;7303
"130260 Manaus";107;276;130;120;8;94;485;71;418;56;120;83;521;521;458;561;769;527;427;418;480;461;504;377;7992
"140010 Boa Vista";1277;1382;1293;913;1064;1023;2093;820;599;669;-;1238;472;403;415;168;209;204;260;238;339;223;230;-;15532
"150140 Belém";7093;6495;6459;6534;6309;6706;6707;4109;3563;3699;3479;4379;5187;5508;6510;6199;6287;6420;6424;6201;6347;6446;5863;6430;139354
"160030 Macapá";513;437;465;521;659;467;348;229;412;548;459;484;475;546;468;720;796;755;777;619;644;663;657;632;13294
"172100 Palmas";674;649;820;895;1213;799;572;815;786;710;629;717;590;613;739;834;825;735;778;880;887;860;760;895;18675
"211130 São Luís";1332;1466;1965;1757;1522;1528;-;1395;1150;1299;1281;1378;1198;1170;1433;1499;1151;1218;1187;1354;1416;1333;1097;1056;31185
"221100 Teresina";571;304;794;717;228;665;668;616;-;799;542;553;471;405;613;589;520;392;328;483;358;325;303;367;11611
"230440 Fortaleza";86;78;78;90;139;271;283;395;339;360;386;488;519;529;1065;834;668;550;569;627;533;550;631;611;10679
"240810 Natal";1002;903;1039;1173;1199;970;963;977;985;955;974;958;930;817;1002;999;1002;941;9151;920;824;831;-;1634;31149
