 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0301030146 SAMU 192: ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS COM ORIENTAC
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"110020 Porto Velho";312;733;465;-;534;287;191;399;307;409;381;215;342;418;211;314;117;254;268;347;335;240;-;102;371;171;566;566;337;524;1138;645;582;531;8923;573;550;592;728;477;494;430;428;432;550;476;473;-;1195;282;225;195;222;214;223;171;189;247;-;382;212;147;215;170;193;157;199;212;111;146;-;126;154;159;136;132;104;139;123;105;101;46;90;87;34547
"120040 Rio Branco";71;101;153;122;58;83;88;101;148;88;28;111;146;153;136;123;143;142;101;181;193;201;142;201;201;211;131;211;203;208;243;301;201;501;303;205;303;501;586;201;315;301;306;206;206;206;208;301;101;112;201;208;106;201;183;192;80;136;101;150;-;42;8;22;131;115;153;128;75;96;72;77;61;61;65;54;765;930;880;811;683;663;618;793;18647
"130260 Manaus";115;92;124;112;107;90;111;115;112;90;107;110;107;102;108;93;104;88;94;89;85;68;128;67;73;68;-;375;-;-;119;86;117;145;120;189;548;262;176;148;125;94;103;94;74;104;106;99;116;91;92;45;-;269;120;62;51;19;336;36;107;276;130;120;8;94;485;71;418;56;120;83;521;521;458;561;769;527;427;418;480;461;504;377;14872
"140010 Boa Vista";513;862;829;972;891;1023;894;967;937;708;766;706;683;1007;673;762;647;762;765;799;812;748;700;935;764;897;981;889;1040;1063;733;722;760;712;781;716;777;710;710;816;881;769;1030;784;744;843;779;929;784;906;619;578;704;-;1654;1472;289;1613;688;1616;1277;1382;1293;913;1064;1023;2093;820;599;669;-;1238;472;403;415;168;209;204;260;238;339;223;230;-;65646
"150140 Belém";7281;6909;7935;7462;7022;6757;6429;6666;6801;6652;5723;6690;6640;6536;7893;7182;7200;6487;6439;6461;6481;4603;4682;4713;4879;4644;5942;7634;6194;4103;4169;4253;4337;4709;4649;4797;4672;4219;5568;4635;4542;4323;4376;4478;4258;4551;8832;13681;6000;6000;6000;6230;7541;6425;6926;6936;6859;7372;7074;7136;7093;6495;6459;6534;6309;6706;6707;4109;3563;3699;3479;4379;5187;5508;6510;6199;6287;6420;6424;6201;6347;6446;5863;6559;506071
"160030 Macapá";646;590;805;787;833;828;679;759;629;632;-;-;1916;424;546;130;-;-;666;-;1511;623;682;577;523;632;843;1229;1550;599;475;419;451;442;440;441;417;-;712;433;351;360;358;474;461;420;-;1008;-;1253;519;502;381;619;665;665;682;682;549;602;513;437;465;521;659;467;348;229;412;548;459;484;475;546;468;720;796;755;777;619;644;663;657;632;47714
"172100 Palmas";-;-;951;2750;1136;1050;921;1231;955;1154;1068;1311;1163;1027;1283;1098;1323;1337;1094;863;681;928;1024;1284;956;1097;1495;1063;1091;1047;1358;1316;1056;1021;1053;1108;808;931;1192;855;918;1042;918;919;876;985;919;1345;1330;914;862;954;959;955;824;922;786;690;786;786;674;649;820;895;1213;799;572;815;786;710;629;717;590;613;739;834;825;735;778;880;887;860;760;895;80444
"211130 São Luís";792;853;819;334;377;260;171;203;194;282;287;262;303;303;280;304;354;247;227;-;-;278;279;-;279;-;-;-;4336;2273;2025;1903;1663;1657;1580;1470;1434;-;2212;1659;1986;1835;1645;1328;1416;1478;1522;1746;2271;1271;1531;1534;1520;1609;1423;1198;1261;1298;1513;1151;1332;1466;1965;1757;1522;1528;-;1395;1150;1299;1281;1378;1198;1170;1433;1499;1151;1218;1187;1354;1416;1333;1097;1056;91621
"221100 Teresina";435;708;462;644;644;388;624;507;480;813;491;359;494;490;599;475;518;504;677;501;705;676;714;540;556;716;1898;1943;1875;1579;1542;1135;1141;1221;4983;1069;998;949;1352;773;1388;1195;1044;923;907;925;859;411;2308;1030;361;2216;1003;403;1164;696;998;577;301;895;571;304;794;717;228;665;668;616;-;799;542;553;471;405;613;589;520;392;328;483;358;325;303;367;68393
"230440 Fortaleza";15824;14807;16871;15298;16187;15638;15870;15755;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9127;8145;10908;2661;2661;10340;97;258;94;160;160;120;60;50;4;53;86;78;78;90;139;271;283;395;339;360;386;488;519;529;1065;834;668;550;569;627;533;550;631;611;181827
