 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Capital e Ano/mês processamento
Capital: 110020 Porto Velho, 120040 Rio Branco, 130260 Manaus, 140010 Boa Vista, 150140 Belém, 160030 Macapá, 172100 Palmas, 211130 São Luís, 221100 Teresina, 230440 Fortaleza, 240810 Natal, 250750 João Pessoa, 261160 Recife, 270430 Maceió, 280030 Aracaju, 292740 Salvador, 310620 Belo Horizonte, 320530 Vitória, 330455 Rio de Janeiro, 355030 São Paulo, 410690 Curitiba, 420540 Florianópolis, 431490 Porto Alegre, 500270 Campo Grande, 510340 Cuiabá, 520870 Goiânia, 530010 Brasília
Procedimento: 0301030014 SAMU 192:ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS
Período:2018-2020
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"110020 Porto Velho";1455;1210;1707;-;3279;1530;1416;1774;1650;1938;1427;1660;1359;1647;1298;1659;1419;1063;910;910;883;1161;740;1045;1192;1124;811;1259;1136;1800;1732;8085;8495;2107;6923;3545;71349
"120040 Rio Branco";3136;2535;3789;3469;3679;3320;3190;3111;3193;3107;2895;2870;2804;2748;3310;3235;3115;3051;2912;3157;2970;3010;3098;3125;3030;2960;3516;3521;5004;3811;3241;3172;2953;2955;3195;3093;115280
"130260 Manaus";47413;39733;46247;44492;45367;42119;44247;47033;42867;39749;39497;40522;36908;31505;34564;31323;33148;32757;32585;31676;31134;29222;29781;31251;29084;27645;-;36052;-;-;28283;27200;27281;28767;27817;27702;1164971
"140010 Boa Vista";1676;1962;1963;2102;2083;2372;2112;2868;2713;2659;2067;2118;1816;1940;2033;2459;2128;2094;2094;2173;2028;2263;2123;3252;2035;2222;2245;1978;2223;2309;1843;1902;1976;1975;2091;2105;78002
"150140 Belém";25647;27106;30000;28201;26157;27685;26986;23811;28038;29562;29062;27358;24776;19934;23457;24291;22968;23375;19466;22395;22302;22183;22328;20681;20113;20491;23665;21061;18876;19203;18568;20709;20805;20449;20710;20997;843416
"160030 Macapá";6142;6182;7145;6551;6671;6640;6191;6255;7252;7584;-;-;22663;5068;5342;4976;-;-;4910;-;9765;5545;5055;5183;4950;4857;4995;5081;5569;4049;4261;3934;4299;4188;3475;3933;188711
"172100 Palmas";-;-;2148;6136;2370;2236;2494;3225;2894;2634;2598;2766;3005;2857;2975;2322;3041;3021;2692;2976;2884;2823;3062;3290;2484;2817;3249;2419;2835;2477;2937;2915;2572;2449;2462;2602;96667
"211130 São Luís";5165;8577;10210;14478;14514;15836;17038;-;-;17353;17353;16009;15691;12402;11342;13126;14569;14296;14494;-;-;16110;16008;-;16500;-;-;-;23725;20170;21038;22186;22232;22667;22640;22979;458708
"221100 Teresina";6590;6437;43361;7631;8020;7090;7353;6993;7574;7672;7652;7471;7406;6805;7957;7783;7695;7441;7159;8337;8215;8697;7894;8086;7873;7048;10484;9086;10629;10801;26683;24607;14091;22306;20718;22912;404557
"230440 Fortaleza";9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;9000;29758;29758;29758;31362;30822;430458
"240810 Natal";4032;3772;4763;4476;4793;4462;4458;4842;5091;4850;4657;4767;4721;4357;4989;5222;5436;-;-;-;-;-;5964;6044;5827;5103;6333;9232;9622;10000;8496;6310;10000;10000;10000;10000;192619
"250750 João Pessoa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60143;28308;27704;28333;24573;26453;29825;29833;29850;28214;28981;27675;30145;25939;26688;26824;24639;27454;25660;25674;582915
"261160 Recife";43858;43467;53669;51560;57721;53478;50456;54807;46408;43412;39732;40224;35535;33914;40443;35460;36516;37053;40300;64451;62663;65141;63392;66661;66071;62440;64929;72538;84039;65587;64021;65315;64670;67474;65871;68046;1971322
"270430 Maceió";39861;33829;32467;31787;28776;32302;32936;29073;27691;50320;13865;13299;13021;12812;14197;12988;11079;10046;10951;12570;12278;12364;12540;12150;11435;9629;10676;-;11733;10235;9650;9312;9662;8875;7704;8142;620255
"280030 Aracaju";21920;20337;24818;30033;37796;31191;28146;28373;26016;-;51755;28050;29254;-;61946;29205;33259;30300;29525;31418;32981;32710;33876;34241;32388;32517;33634;30418;32217;31065;31825;34154;32768;35538;34993;33335;1102002
"292740 Salvador";31394;30957;31560;30602;36449;41409;39762;45804;39703;38233;39501;36479;37737;32996;33251;21097;28180;36479;36479;36479;36479;28301;14630;36479;36479;36479;36479;36479;36479;36479;36479;36479;36479;36479;34234;34234;1253698
"310620 Belo Horizonte";46274;39832;46181;48371;46667;43121;42304;38846;40797;41709;43658;43004;42941;40096;46143;47537;54666;49029;49991;47603;48921;48117;47313;48881;47327;45616;48994;38269;19799;41393;48981;43401;42212;44077;49325;54728;1616124
"320530 Vitória";77835;64544;63749;62163;69599;57422;56209;62060;55406;65217;52025;49572;52474;52063;50192;53297;59193;54227;53314;66619;61134;55864;48425;44717;43366;41857;45673;46342;52286;42372;33658;32398;33325;27017;29890;39232;1854736
"330455 Rio de Janeiro";-;198013;-;199558;-;211979;-;-;287715;-;-;190571;102546;-;184378;-;-;293731;-;-;252293;-;175499;-;-;-;-;-;-;-;-;-;-;23663;24851;25567;2170364
"355030 São Paulo";162244;149734;171905;158308;158487;154132;140860;140999;148622;154418;148406;156543;147110;137623;159417;146434;135351;131406;131047;133218;129220;128843;119238;127231;114957;110373;123556;104035;103460;98314;93301;99702;102176;102714;104611;112475;4740470
"410690 Curitiba";20844;18092;21595;20497;20302;22316;23157;23938;23667;25284;25161;27208;25049;21864;24488;21775;31263;36996;36061;36061;30454;39388;36628;39281;36385;37409;39218;36960;34814;39749;31176;34587;36809;37745;39120;37983;1093324
"420540 Florianópolis";13020;10675;11711;10551;10221;9536;10185;9989;9838;-;10745;11131;-;19538;19538;870;18831;-;12308;12397;12540;12317;12317;13365;14221;5090;-;12033;11089;11025;5448;11292;10453;12159;10348;12036;366817
"431490 Porto Alegre";29833;773;56663;773;28820;773;51472;25820;773;26064;27489;49930;773;24160;22107;47229;773;45761;773;45025;23437;773;773;24119;773;773;47215;62447;19299;19102;20768;20006;773;773;43205;41067;811087
"500270 Campo Grande";39682;36203;49146;48419;42248;32523;33922;31688;33334;38679;34885;34163;31622;30104;39934;37947;35672;37150;30363;35072;33740;33020;32047;26843;24897;24664;-;22466;53188;22621;24092;23359;23875;23743;22617;21344;1145272
"510340 Cuiabá";-;20385;11843;10683;10836;10789;11991;11827;11776;10772;9928;-;-;-;20162;23175;12367;12500;12453;12307;12500;9222;11535;11187;10810;10592;10828;10614;10715;11399;10989;11064;10792;11248;10453;10366;388108
"520870 Goiânia";5214;-;10832;5784;5598;5119;4652;-;11325;-;5753;5117;9124;9145;8857;5823;5152;5704;5914;4830;5740;5888;5064;5873;5634;4903;6312;5320;4562;5791;5395;4974;5083;5233;4683;5182;199580
"530010 Brasília";69618;65638;81513;76878;78755;73919;73114;78074;80487;79621;70861;75874;70028;-;145218;77458;78942;68291;68560;74546;74382;72904;67810;65841;61328;60948;76763;60473;61554;66699;72204;67310;65896;66742;63506;63060;2554815
"Total";711853;838993;827985;912503;758208;902299;723651;690210;953830;699837;689972;875706;727363;512578;976538;665691;703906;973079;641965;721553;942516;671319;815965;677659;638009;594771;637556;664758;653998;611390;640757;670955;644074;678555;722464;743161;26515627
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
