 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Capital e Ano/mês processamento
Capital: 110020 Porto Velho, 120040 Rio Branco, 130260 Manaus, 140010 Boa Vista, 150140 Belém, 160030 Macapá, 172100 Palmas, 211130 São Luís, 221100 Teresina, 230440 Fortaleza, 240810 Natal, 250750 João Pessoa, 261160 Recife, 270430 Maceió, 280030 Aracaju, 292740 Salvador, 310620 Belo Horizonte, 320530 Vitória, 330455 Rio de Janeiro, 355030 São Paulo, 410690 Curitiba, 420540 Florianópolis, 431490 Porto Alegre, 500270 Campo Grande, 510340 Cuiabá, 520870 Goiânia, 530010 Brasília
Procedimento: 0301030014 SAMU 192:ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS
Período:2022-2023
"Capital";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"Total"
"110020 Porto Velho";4761;6772;8050;7710;8044;2074;2118;2092;2141;2288;-;4376;2186;2106;2486;2391;2363;2369;2466;2272;2044;2192;1997;2143;77441
"120040 Rio Branco";3186;2510;2654;2770;2980;2875;3138;2763;2682;2851;3003;2179;-;5411;3249;4397;4563;4325;4499;4365;4354;4231;4263;4861;82109
"130260 Manaus";20112;19011;19939;-;-;44514;40760;20150;18496;17573;16112;21700;21392;19762;21797;20535;22222;19330;21019;20440;20440;21359;18789;21028;486480
"140010 Boa Vista";2081;2109;1872;1872;2034;-;3956;3755;1842;4390;3385;3341;3095;3014;3030;2642;2802;2815;3359;2660;2474;2501;-;4765;63794
"150140 Belém";20000;22000;22000;18224;16779;16721;16428;15938;16742;16446;15656;16492;15865;14545;16672;16193;17249;17241;16878;15616;14958;16273;15429;15309;405654
"160030 Macapá";-;8787;4593;4489;4925;5125;5066;5066;2904;3568;3456;3214;3265;2973;3434;3797;3969;3588;3200;2445;3396;3810;3373;3380;91823
"172100 Palmas";2716;2053;2104;2002;2179;2268;2197;2165;1988;2073;2006;2230;2406;2404;2180;2449;2470;2072;1858;2201;2200;2190;2045;2198;52654
"211130 São Luís";19421;15138;16854;17199;17518;17668;18841;18073;18407;18294;18123;17306;18502;17226;18608;18074;18706;18074;16506;15751;15439;15715;15315;15829;416587
"221100 Teresina";17662;9102;4265;21932;10415;4079;14306;8484;12056;8689;4271;12715;8328;3498;9350;8441;3914;9300;9612;8311;-;14305;8737;9516;221288
"230440 Fortaleza";30125;27059;30321;31887;32137;31660;30638;30891;30048;31148;27857;28873;31883;27095;27095;32987;34299;33563;31956;32122;31314;28673;31198;31862;736691
"240810 Natal";-;33990;16961;16009;16490;15381;14860;14961;13335;13603;14628;13916;14663;13229;14975;14007;14808;13960;11922;10482;9867;9390;9236;8854;329527
"250750 João Pessoa";23678;20530;21675;21371;22430;22306;21801;19907;21053;19986;19435;19029;20466;18515;21070;21145;21185;19524;20417;19819;20052;20696;20788;22193;499071
"261160 Recife";71694;59032;62346;63005;66466;64265;66298;61810;64732;66647;66642;62628;62383;60647;70197;71364;72347;71524;69476;66441;66268;67477;65289;68018;1586996
"270430 Maceió";6645;5749;6623;6457;7314;6977;6769;6472;6164;5679;5988;6027;5943;5410;6165;6333;6677;6047;6330;6268;6138;6220;6234;6531;151160
"280030 Aracaju";44483;22145;25318;26037;27463;26228;27187;26049;26015;27065;26158;24687;25491;24339;27099;26319;26816;27000;26132;26378;25380;27956;27323;27908;646976
"292740 Salvador";34234;34234;34234;136936;34234;136936;34234;34234;34234;30390;15385;23109;29545;29545;32163;26776;35905;70803;26776;34928;68417;34918;33980;37704;1043854
"310620 Belo Horizonte";49747;41254;43426;40728;42158;40844;41415;40177;40027;39841;36329;41108;39523;40213;48327;44549;46906;44215;44318;45870;47044;49738;51652;53031;1052440
"330455 Rio de Janeiro";26164;20413;23440;14492;25133;27911;29832;41729;39431;42658;37131;40327;43580;45792;55753;51122;52873;50413;59024;71981;66135;58208;61446;66202;1051190
"355030 São Paulo";123537;103872;120022;104277;114268;120050;117689;109823;101986;113460;114268;114268;108484;109593;132147;116159;123053;-;112532;114193;115886;115934;115845;122755;2644101
"410690 Curitiba";34130;30072;30749;30925;34127;31974;33323;33697;31872;34858;48550;59504;46334;44565;38016;47403;42790;30708;29922;31090;32705;31183;33877;36082;878456
"420540 Florianópolis";11693;9070;9640;9152;9763;9401;9898;9617;9482;-;9792;21988;12020;1198;9792;13629;13400;11192;11077;11210;11396;11681;11780;12844;250715
"431490 Porto Alegre";21959;19210;19872;18967;20013;16334;18888;17582;17535;18319;17892;17877;17320;15325;16036;10202;773;93592;76202;77783;79360;81243;13291;95180;800755
"500270 Campo Grande";21601;18294;22222;23170;22817;22351;21634;20446;20636;21335;21805;19520;16009;17210;23705;21316;21451;18562;20296;19589;19403;19926;18885;19373;491556
"510340 Cuiabá";9957;-;10046;10411;10283;9845;10579;9942;10211;10964;10329;11052;10077;9959;12375;12257;12175;10430;10058;9717;10147;9943;8734;9353;238844
"520870 Goiânia";-;9244;4764;4250;4475;4266;4157;4315;4189;4257;3724;4033;3847;3969;4514;4242;4582;4489;4300;4379;4076;4115;3715;3931;101833
"530010 Brasília";70554;58293;68162;64740;62332;62048;61050;61799;62475;62108;60235;64231;64225;62890;73816;71697;68434;65370;65191;69161;69812;71963;65960;67123;1573669
"Total";670140;599943;632152;699012;616777;744101;657062;621937;610683;618490;602160;655730;626832;600433;694051;670426;676732;650506;705326;725472;748705;731840;649181;767973;15975664
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
