 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Capital e Ano/mês processamento
Capital: 110020 Porto Velho, 120040 Rio Branco, 130260 Manaus, 140010 Boa Vista, 150140 Belém, 160030 Macapá, 172100 Palmas, 211130 São Luís, 221100 Teresina, 230440 Fortaleza, 240810 Natal, 250750 João Pessoa, 261160 Recife, 270430 Maceió, 280030 Aracaju, 292740 Salvador, 310620 Belo Horizonte, 320530 Vitória, 330455 Rio de Janeiro, 355030 São Paulo, 410690 Curitiba, 420540 Florianópolis, 431490 Porto Alegre, 500270 Campo Grande, 510340 Cuiabá, 520870 Goiânia, 530010 Brasília
Procedimento: 0301030014 SAMU 192:ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS
Período:2023-2024
"Capital";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"110020 Porto Velho";2186;2106;2486;2391;2363;2369;2466;2272;2044;2192;1997;2143;1966;1948;2046;1950;1736;2146;1939;2004;1995;1870;1917;1879;50411
"120040 Rio Branco";-;5411;3249;4397;4563;4325;4499;4365;4354;4231;4263;4861;4263;3925;4586;3408;5633;5405;7016;6957;6643;8945;7490;7547;120336
"130260 Manaus";21392;19762;21797;20535;22222;19330;21019;20440;20440;21359;18789;21028;20205;16564;18132;17928;18810;18269;16285;16971;18153;17117;15091;17259;458897
"140010 Boa Vista";3095;3014;3030;2642;2802;2815;3359;2660;2474;2501;-;4765;2079;1869;2195;1721;1666;2203;2058;2180;1880;1909;1845;-;54762
"150140 Belém";15865;14545;16672;16193;17249;17241;16878;15616;14958;16273;15429;15309;15606;16091;17247;16933;17417;17548;17501;16588;17101;17834;14530;16454;393078
"160030 Macapá";3265;2973;3434;3797;3969;3588;3200;2445;3396;3810;3373;3380;3119;3493;3955;4201;4465;4263;4449;4161;3868;4193;3992;3981;88770
"172100 Palmas";2406;2404;2180;2449;2470;2072;1858;2201;2200;2190;2045;2198;2059;1997;2281;2329;2415;2179;2149;2409;2424;2246;2235;2283;53679
"211130 São Luís";18502;17226;18608;18074;18706;18074;16506;15751;15439;15715;15315;15829;14082;13613;16637;16785;15668;14400;13983;13876;13323;13927;13598;14192;377829
"221100 Teresina";8328;3498;9350;8441;3914;9300;9612;8311;-;14305;8737;9516;8696;6749;9841;9379;9354;8304;7931;8998;8544;8070;6912;7978;194068
"230440 Fortaleza";31883;27095;27095;32987;34299;33563;31956;32122;31314;28673;31198;31862;32718;30729;32484;32613;32098;31048;32159;32678;33118;31048;29061;30842;754643
"240810 Natal";14663;13229;14975;14007;14808;13960;11922;10482;9867;9390;9236;8854;8430;7494;9174;8877;8264;8098;8836;8388;8017;8728;-;16512;246211
"250750 João Pessoa";20466;18515;21070;21145;21185;19524;20417;19819;20052;20696;20788;22193;22342;20414;22248;21683;21769;20828;21272;21932;21156;21555;20008;21383;502460
"261160 Recife";62383;60647;70197;71364;72347;71524;69476;66441;66268;67477;65289;68018;67732;64677;70954;67273;66646;64719;63884;64976;65161;67204;63407;67688;1605752
"270430 Maceió";5943;5410;6165;6333;6677;6047;6330;6268;6138;6220;6234;6531;6542;5876;6910;6511;7031;6460;6016;6258;6267;6789;6108;6376;151440
"280030 Aracaju";25491;24339;27099;26319;26816;27000;26132;26378;25380;27956;27323;27908;26608;25132;29725;27496;27894;27509;25542;26202;26395;28379;25414;-;614437
"292740 Salvador";29545;29545;32163;26776;35905;70803;26776;34928;68417;34918;33980;37704;36688;35367;39318;37745;35367;35367;35367;35367;35367;35367;35367;35367;893514
"310620 Belo Horizonte";39523;40213;48327;44549;46906;44215;44318;45870;47044;49738;51652;53031;56750;56760;60327;48258;44901;43417;44962;43793;45788;45779;42761;44642;1133524
"330455 Rio de Janeiro";43580;45792;55753;51122;52873;50413;59024;71981;66135;58208;61446;66202;64725;59367;61311;58775;58060;55641;57228;59089;60837;64728;61799;59373;1403462
"355030 São Paulo";108484;109593;132147;116159;123053;-;112532;114193;115886;115934;115845;122755;110303;114740;128929;120641;115755;103027;96662;105255;103757;114940;114931;108843;2624364
"410690 Curitiba";46334;44565;38016;47403;42790;30708;29922;31090;32705;31183;33877;36082;34162;35141;26052;30517;24709;28837;26141;28445;29309;26712;27079;34514;796293
"420540 Florianópolis";12020;1198;9792;13629;13400;11192;11077;11210;11396;11681;11780;12844;13726;13560;14798;-;13492;-;25931;13733;14149;14519;13215;13894;282236
"431490 Porto Alegre";17320;15325;16036;10202;773;93592;76202;77783;79360;81243;13291;95180;161969;89750;98037;17611;145603;91424;95317;93476;94599;95110;86787;88063;1734053
"500270 Campo Grande";16009;17210;23705;21316;21451;18562;20296;19589;19403;19926;18885;19373;16798;15702;19264;19929;17585;17552;16836;17254;17246;15580;15409;14583;439463
"510340 Cuiabá";10077;9959;12375;12257;12175;10430;10058;9717;10147;9943;8734;9353;8369;8334;9345;10020;10508;10099;9867;10697;10963;10109;9253;9790;242579
"520870 Goiânia";3847;3969;4514;4242;4582;4489;4300;4379;4076;4115;3715;3931;3822;-;7404;4179;3904;3419;3841;3957;4115;3946;4201;4217;97164
"530010 Brasília";64225;62890;73816;71697;68434;65370;65191;69161;69812;71963;65960;67123;63398;68166;74241;71085;63971;60377;59859;59728;62381;60657;58567;58892;1576964
"Total";626832;600433;694051;670426;676732;650506;705326;725472;748705;731840;649181;767973;807157;717458;787441;657847;774721;682539;703031;705372;712556;727261;680977;686552;16890389
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
