 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0301030014 SAMU 192:ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"110020 Porto Velho";1455;1210;1707;-;3279;1530;1416;1774;1650;1938;1427;1660;1359;1647;1298;1659;1419;1063;910;910;883;1161;740;1045;1192;1124;811;1259;1136;1800;1732;8085;8495;2107;6923;3545;1377;2706;8766;1415;2352;3343;2446;5205;2945;6660;3748;-;4761;6772;8050;7710;8044;2074;2118;2092;2141;2288;-;4376;2186;2106;2486;2391;2363;2369;2466;2272;2044;2192;1997;2143;1966;1948;2046;1950;1736;2146;1939;2004;1995;1870;1917;1879;213149
"120040 Rio Branco";3136;2535;3789;3469;3679;3320;3190;3111;3193;3107;2895;2870;2804;2748;3310;3235;3115;3051;2912;3157;2970;3010;3098;3125;3030;2960;3516;3521;5004;3811;3241;3172;2953;2955;3195;3093;3392;3785;4506;3001;3059;2709;2868;2917;2873;2971;2696;3462;3186;2510;2654;2770;2980;2875;3138;2763;2682;2851;3003;2179;-;5411;3249;4397;4563;4325;4499;4365;4354;4231;4263;4861;4263;3925;4586;3408;5633;5405;7016;6957;6643;8945;7490;7547;307446
"130260 Manaus";47413;39733;46247;44492;45367;42119;44247;47033;42867;39749;39497;40522;36908;31505;34564;31323;33148;32757;32585;31676;31134;29222;29781;31251;29084;27645;-;36052;-;-;28283;27200;27281;28767;27817;27702;33969;24187;25297;22981;25099;24157;23077;22212;20378;22111;21571;22063;20112;19011;19939;-;-;44514;40760;20150;18496;17573;16112;21700;21392;19762;21797;20535;22222;19330;21019;20440;20440;21359;18789;21028;20205;16564;18132;17928;18810;18269;16285;16971;18153;17117;15091;17259;2149337
"140010 Boa Vista";1676;1962;1963;2102;2083;2372;2112;2868;2713;2659;2067;2118;1816;1940;2033;2459;2128;2094;2094;2173;2028;2263;2123;3252;2035;2222;2245;1978;2223;2309;1843;1902;1976;1975;2091;2105;2186;1987;2196;2178;2119;1920;2293;2054;2022;2042;1927;2188;2081;2109;1872;1872;2034;-;3956;3755;1842;4390;3385;3341;3095;3014;3030;2642;2802;2815;3359;2660;2474;2501;-;4765;2079;1869;2195;1721;1666;2203;2058;2180;1880;1909;1845;-;188513
"150140 Belém";25647;27106;30966;28201;26157;27685;26986;23811;28038;29562;29062;27358;24776;19934;23457;24291;22968;23375;19466;22395;22302;22183;22328;20681;20113;20491;23665;21061;18876;19203;18568;20709;20805;20449;20710;20997;20997;17784;19457;17711;17759;17991;17430;18439;16725;17749;34025;52397;20000;22000;22000;18224;16779;16721;16428;15938;16742;16446;15656;16492;15865;14545;16672;16193;17249;17241;16878;15616;14958;16273;15429;15309;15606;16091;17247;16933;17417;17548;17501;16588;17101;17834;14530;16454;1719350
"160030 Macapá";6142;6182;7145;6551;6671;6640;6191;6255;7252;7584;-;-;22663;5068;5342;4976;-;-;4910;-;9765;5545;5055;5183;4950;4857;4995;5081;5569;4049;4261;3934;4299;4188;3475;3933;3944;-;8604;4655;4562;4660;4892;4403;4364;4817;-;9766;-;8787;4593;4489;4925;5125;5066;5066;2904;3568;3456;3214;3265;2973;3434;3797;3969;3588;3200;2445;3396;3810;3373;3380;3119;3493;3955;4201;4465;4263;4449;4161;3868;4193;3992;3981;383341
"172100 Palmas";-;-;2148;6136;2370;2236;2494;3225;2894;2634;2598;2766;3005;2857;2975;2322;3041;3021;2692;2976;2884;2823;3062;3290;2484;2817;3249;2419;2835;2477;2937;2915;2572;2449;2462;2602;2349;2317;2950;2447;2681;2914;2125;2611;2156;2175;2225;2710;2716;2053;2104;2002;2179;2268;2197;2165;1988;2073;2006;2230;2406;2404;2180;2449;2470;2072;1858;2201;2200;2190;2045;2198;2059;1997;2281;2329;2415;2179;2149;2409;2424;2246;2235;2283;205987
"211130 São Luís";5165;8577;10210;14478;14514;15836;17038;-;-;17353;18734;16009;15691;12402;11342;13126;14569;14296;14494;-;-;16110;16008;-;17412;-;-;-;23725;20170;21038;22186;22232;22667;22640;22979;20019;-;21623;20686;20376;20000;19461;18918;18424;19358;18964;17978;19421;15138;16854;17199;17518;17668;18841;18073;18407;18294;18123;17306;18502;17226;18608;18074;18706;18074;16506;15751;15439;15715;15315;15829;14082;13613;16637;16785;15668;14400;13983;13876;13323;13927;13598;14192;1267479
"221100 Teresina";6590;6437;43361;7631;8020;7090;7353;6993;7574;7672;7652;7471;7406;6805;7957;7783;7695;7441;7159;8337;8215;8697;7894;8086;7873;7048;10484;9086;31021;31397;26683;24607;14091;22306;20718;22912;9109;8463;10796;5459;10736;9478;8965;9115;8445;9281;8074;4240;17662;9102;4265;21932;10415;4079;14306;8484;12056;8689;4271;12715;8328;3498;9350;8441;3914;9300;9612;8311;-;14305;8737;9516;8696;6749;9841;9379;9354;8304;7931;8998;8544;8070;6912;7978;869750
"230440 Fortaleza";42997;38833;41983;40801;41653;39471;38891;39744;37027;40307;38680;37707;37742;34290;38094;35210;36919;34606;34571;34294;34033;34677;35709;34664;33390;32353;36752;39086;38445;27999;28057;29758;29758;29758;31362;30822;30549;27059;31251;29483;30957;27346;26437;27170;27267;27708;27556;30125;30125;27059;30321;31887;32137;31660;30638;30891;30048;31148;27857;28873;31883;27095;27095;32987;34299;33563;31956;32122;31314;28673;31198;31862;32718;30729;32484;32613;32098;31048;32159;32678;33118;31048;29061;30842;2750638
"240810 Natal";4032;3772;4763;4476;4793;4462;4458;4842;5091;4850;4657;4767;4721;4357;4989;5222;5436;-;-;-;-;-;5964;6044;5827;5103;6333;9232;9622;10736;8496;6310;16447;18915;18101;18457;18317;18602;20547;18941;19314;16064;20156;19265;16077;17233;17032;17326;-;33990;16961;16009;16490;15381;14860;14961;13335;13603;14628;13916;14663;13229;14975;14007;14808;13960;11922;10482;9867;9390;9236;8854;8430;7494;9174;8877;8264;8098;8836;8388;8017;8728;-;16512;874494
"250750 João Pessoa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60143;28308;27704;28333;24573;26453;29825;29833;29850;28214;28981;27675;30145;25939;26688;26824;24639;27454;25660;25674;24785;-;26547;23466;26876;23477;23070;24479;23863;24809;23153;23925;23678;20530;21675;21371;22430;22306;21801;19907;21053;19986;19435;19029;20466;18515;21070;21145;21185;19524;20417;19819;20052;20696;20788;22193;22342;20414;22248;21683;21769;20828;21272;21932;21156;21555;20008;21383;1607026
"261160 Recife";43858;43467;53669;51560;57721;53478;50456;54807;46408;43412;39732;40224;35535;33914;40443;35460;36516;37053;40300;64451;62663;65141;63392;66661;66071;62440;64929;72538;84039;65587;64021;65315;64670;67474;65871;68046;66129;59311;70389;67587;77490;69354;66561;66119;65749;67474;65525;71597;71694;59032;62346;63005;66466;64265;66298;61810;64732;66647;66642;62628;62383;60647;70197;71364;72347;71524;69476;66441;66268;67477;65289;68018;67732;64677;70954;67273;66646;64719;63884;64976;65161;67204;63407;67688;5165924
"270430 Maceió";39861;33829;32467;31787;28776;32302;32936;29073;27691;55702;13865;13299;13021;12812;14197;12988;11079;10046;10951;12570;12278;12364;12540;12150;11435;9629;10676;-;11733;10235;9650;9312;9662;8875;7704;8142;8785;7891;9052;8311;8769;7490;7820;7352;6798;7954;7116;7705;6645;5749;6623;6457;7314;6977;6769;6472;6164;5679;5988;6027;5943;5410;6165;6333;6677;6047;6330;6268;6138;6220;6234;6531;6542;5876;6910;6511;7031;6460;6016;6258;6267;6789;6108;6376;948984
"280030 Aracaju";21920;20337;24818;30033;37796;31191;28146;28373;26016;-;51755;28050;29254;-;61946;29205;33259;30300;29525;31418;32981;32710;33876;34241;32388;32517;33634;30418;32217;31065;31825;34154;32768;35538;34993;33335;31251;26783;27809;25453;27741;27634;25311;25588;24811;25482;25185;-;44483;22145;25318;26037;27463;26228;27187;26049;26015;27065;26158;24687;25491;24339;27099;26319;26816;27000;26132;26378;25380;27956;27323;27908;26608;25132;29725;27496;27894;27509;25542;26202;26395;28379;25414;-;2338322
"292740 Salvador";31394;30957;31560;30602;36449;41409;39762;45804;39703;38233;39501;36479;37737;32996;33251;21097;28180;36479;36479;36479;36479;28301;14630;36479;36479;36479;36479;36479;36479;36479;36479;36479;36479;36479;34234;34234;34234;34234;34234;34234;34234;34234;136936;34234;34234;102702;34234;34017;34234;34234;34234;136936;34234;136936;34234;34234;34234;30390;15385;23109;29545;29545;32163;26776;35905;70803;26776;34928;68417;34918;33980;37704;36688;35367;39318;37745;35367;35367;35367;35367;35367;35367;35367;35367;3311367
"310620 Belo Horizonte";46274;39832;46181;48371;46667;43121;42304;38846;40797;41709;43658;43004;42941;40096;46143;47537;54666;49029;49991;47603;48921;48117;47313;48881;47327;45616;48994;38269;19799;41393;48981;43401;42212;44077;49325;54728;52790;44992;57557;50737;51549;45854;47116;43688;43558;44005;44390;45323;49747;41254;43426;40728;42158;40844;41415;40177;40027;39841;36329;41108;39523;40213;48327;44549;46906;44215;44318;45870;47044;49738;51652;53031;56750;56760;60327;48258;44901;43417;44962;43793;45788;45779;42761;44642;3818261
"320530 Vitória";77835;64544;63749;62163;69599;57422;56209;62060;55406;65217;52025;49572;52474;52063;50192;53297;59193;54227;53314;66619;61134;55864;48425;44717;43366;41857;45673;46342;52286;42372;33658;32398;33325;27017;29890;39232;40439;39475;47724;39875;-;54178;99264;54008;59021;63494;58728;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2410942
"330455 Rio de Janeiro";-;198013;-;199558;-;211979;-;-;287715;-;-;190571;102546;-;184378;-;-;293731;-;-;252293;-;175499;-;-;-;-;-;-;-;-;-;-;23663;24851;25567;-;20547;-;-;68944;11402;-;4125;22154;-;46869;26381;26164;20413;23440;14492;25133;27911;29832;41729;39431;42658;37131;40327;43580;45792;55753;51122;52873;50413;59024;71981;66135;58208;61446;66202;64725;59367;61311;58775;58060;55641;57228;59089;60837;64728;61799;59373;4142909
"355030 São Paulo";162244;149734;171905;158308;158487;154132;140860;140999;148622;154418;148406;156543;147110;137623;159417;146434;135351;131406;131047;133218;129220;128843;119238;127231;114957;110373;123556;104035;103460;98314;93301;99702;102176;102714;104611;112475;114957;92922;108764;89375;102943;99424;102332;105269;103439;109141;103439;158165;123537;103872;120022;104277;114268;120050;117689;109823;101986;113460;114268;114268;108484;109593;132147;116159;123053;-;112532;114193;115886;115934;115845;122755;110303;114740;128929;120641;115755;103027;96662;105255;103757;114940;114931;108843;10012524
"410690 Curitiba";20844;18092;21595;20497;20302;22316;23157;23938;23667;25284;25161;27208;25049;21864;24488;21775;31263;36996;36061;36061;30454;39388;36628;39281;36385;37409;39218;36960;34814;39749;31176;34587;36809;37745;39120;37983;35761;29578;33421;30967;32758;31065;30112;30346;28140;28696;29306;30811;34130;30072;30749;30925;34127;31974;33323;33697;31872;34858;48550;59504;46334;44565;38016;47403;42790;30708;29922;31090;32705;31183;33877;36082;34162;35141;26052;30517;24709;28837;26141;28445;29309;26712;27079;34514;2694359
"420540 Florianópolis";13020;10675;11711;10551;10221;9536;10185;9989;9838;-;10745;11131;-;19538;19538;8565;18831;-;12308;12397;12540;12317;12317;13365;14221;5090;-;12033;11089;11025;5448;11292;10453;12159;10348;12036;11433;-;19392;8526;8731;-;8991;9050;8925;9237;9311;9370;11693;9070;9640;9152;9763;9401;9898;9617;9482;-;9792;21988;12020;1198;9792;13629;13400;11192;11077;11210;11396;11681;11780;12844;13726;13560;14798;-;13492;-;25931;13733;14149;14519;13215;13894;879210
"431490 Porto Alegre";153821;106496;147748;84906;113742;73347;126990;104687;102778;98819;120551;150879;103447;114075;119932;138654;89351;130667;86558;45025;203163;89063;91919;121248;90494;87934;136761;136510;92550;96917;101775;97527;75257;86700;126182;126947;85875;20161;208698;93965;81751;113946;113736;98652;92714;99324;95324;104284;111208;92177;95177;97598;98919;93183;94029;17582;86705;90312;88858;93886;91362;77956;90772;78839;82709;93592;76202;77783;79360;81243;13291;95180;161969;89750;98037;17611;145603;91424;95317;93476;94599;95110;86787;88063;8337519
"500270 Campo Grande";39682;36203;49146;48419;42248;32523;33922;31688;33334;38679;34885;34163;31622;30104;39934;37947;35672;37150;30363;35072;33740;33020;32047;26843;24897;24664;-;22466;53188;22621;24092;23359;23875;23743;22617;21344;21450;22670;25271;23594;25190;23627;23371;23333;22408;22992;22919;23866;21601;18294;22222;23170;22817;22351;21634;20446;20636;21335;21805;19520;16009;17210;23705;21316;21451;18562;20296;19589;19403;19926;18885;19373;16798;15702;19264;19929;17585;17552;16836;17254;17246;15580;15409;14583;2121257
"510340 Cuiabá";-;20385;11843;10683;10836;10789;11991;11827;11776;10772;9928;-;-;-;20162;23175;12367;12767;12453;12307;12557;9222;11535;11187;10810;10592;10828;10614;10715;11399;10989;11064;10792;11248;10453;10366;11025;9280;10785;8690;8781;10768;9659;10215;10255;9362;18789;9570;9957;-;10046;10411;10283;9845;10579;9942;10211;10964;10329;11052;10077;9959;12375;12257;12175;10430;10058;9717;10147;9943;8734;9353;8369;8334;9345;10020;10508;10099;9867;10697;10963;10109;9253;9790;871809
"520870 Goiânia";5214;-;10832;5784;5598;5119;4652;-;11325;-;5753;5117;9124;9145;8857;5823;5152;5704;5914;4830;5740;5888;5064;5873;5634;4903;6312;5320;4562;5791;5395;4974;5083;5233;4683;5182;5019;-;5037;4841;4621;4299;4381;4279;3902;3779;3863;4201;-;9244;4764;4250;4475;4266;4157;4315;4189;4257;3724;4033;3847;3969;4514;4242;4582;4489;4300;4379;4076;4115;3715;3931;3822;-;7404;4179;3904;3419;3841;3957;4115;3946;4201;4217;396640
